Coluna A,Coluna B,Coluna C,Classe
Pietro Teixeira,30221810404596,(041) 7100 2027,1
Srta. Emanuelly Oliveira,4212448175213,0800-494-6676,1
Maria Julia Lima,6011719918246694,+55 81 2214 7610,1
Enzo Gabriel Ramos,4814863173380006,(081) 3676-2279,1
Dr. Lorenzo Santos,180056546180161,+55 84 7406 8280,1
Maria Sophia da Paz,30587384342242,0500 140 0173,1
João Pires,3506014872386127,0500 980 5214,1
Julia Alves,4209163056207195213,(041) 4155 8163,1
Rafael Freitas,3536159202138203,+55 (081) 5742-9745,1
Lavínia Santos,3573675962247730,+55 (081) 7506-0877,1
João Vitor Rocha,180089861182363,+55 (081) 2990 4497,1
Maria Julia Jesus,3508743411154707,+55 61 2399 6607,1
Maria Cecília Ferreira,4843750235858670,81 8717-2568,1
João Felipe Santos,4774853874606,+55 (081) 0176-1116,1
Mariana da Rosa,6011404898492309,81 1873-7389,1
Isaac da Conceição,4655549063820716077,0900-205-9782,1
Gabriela Alves,4640576893191,+55 71 7989 2352,1
Rodrigo Rocha,4300742851272,+55 (051) 2577 5223,1
Rafael Castro,4128839207891581,+55 (041) 3254-6102,1
Emanuelly Caldeira,4633700504859812,(061) 2332-4549,1
Alana da Rosa,36503385905329,(084) 6629-0305,1
Ana Luiza Aragão,4691561152970114,(071) 8030-2115,1
Renan Mendes,3584689081765412,31 8406 1095,1
Srta. Brenda Jesus,213107955352790,+55 31 7126-8675,1
Eduardo da Paz,4691976552176,(061) 3558-2549,1
Melissa Ferreira,3593557531886113,(084) 9797-8128,1
Davi Lucas Azevedo,180002757452071,0500-346-4839,1
Ana Julia da Luz,4661422917466797,+55 (041) 7833 1192,1
Emanuella Nascimento,4940027851966,+55 (011) 6086 4828,1
Ana Sophia Martins,2235352821235825,+55 51 6664 7259,1
Cauê Souza,3531437017660248,(071) 3736-6829,1
Luiz Fernando da Cunha,4685514790330959,+55 84 7153 7144,1
Samuel Porto,38248697984319,(081) 7572 1358,1
Murilo Pinto,4690740556814753570,41 7593-6752,1
Melissa Oliveira,213173027643178,+55 21 9040 8850,1
Heitor Jesus,6558211755334253,0900-739-2454,1
Samuel Caldeira,180018112347418,81 6194-1586,1
Rafael Fernandes,341849443126337,+55 (021) 2076 5451,1
Davi Luiz Jesus,4190120121333221,+55 (084) 1631 1089,1
Vitória Monteiro,2262200365940787,+55 81 5342-5513,1
Luiz Miguel da Costa,3512313770091884,0500 489 6697,1
Gabriela Castro,3513100799469822,+55 (041) 4442 7419,1
