Coluna A,Coluna B,Coluna C,Classe
Maria Clara Cardoso,502030044882,11 4693-8865,1
Srta. Emilly Moraes,38491578332477,+55 41 2708-3266,1
rochamaria-alice,Android 4.2,Catador de carangueijos,0
Lívia Araújo,30330547483516,+55 (021) 0270-2059,1
joao-gabrielferreira,Android 6.0,Comprador,0
alima,Android 1.0,Argumentista,0
Ana Rodrigues,370836938894788,81 3742 2211,1
Diego Martins,2535994801135546,+55 (051) 1309 9321,1
Luiz Henrique Campos,4567050999723440,+55 51 9138 1580,1
Nicole Fernandes,3588968378739611,31 7702-0975,1
frodrigues,Android 3.1,Mãe social,0
isaaccunha,Android 8.1.0,Moldador,0
Sophie da Rocha,4521525223182823,+55 (071) 5591-6845,1
Dr. Rodrigo Sales,5279540454817774,+55 (021) 2915-1589,1
Raul da Luz,30043357756000,84 3891 7034,1
da-cruzjulia,Android 10,Pára-quedista,0
Cauã Nascimento,3553226183460696,+55 (011) 2756-0059,1
ksilveira,Android 5.0,Redator,0
costalorena,Android 3.2.4,Diretor de produção,0
brenoazevedo,Android 2.2.3,Lenhador,0
julialima,Android 2.3.2,Militar da Aeronáutica,0
walves,Android 2.2.3,Skatista,0
Guilherme Santos,180096118333434,+55 (081) 2616 8730,1
elisa32,Android 5.1,Prefeito,0
Srta. Ana Vitória Vieira,4120647488024485888,84 3432-7848,1
Dr. Emanuel Costela,4839422589730505111,+55 (041) 9679 6657,1
luigi10,Android 3.0,Cozinheira,0
Bruno Rodrigues,3561111066962135,+55 21 1214 3466,1
Stella Mendes,343441480155532,+55 81 0487 4598,1
Lavínia Novaes,6011087958281702,71 8899-9325,1
clarice84,Android 2.2.3,Revendedor,0
Pietro da Paz,4247548095433127,+55 84 4888 4353,1
Alana Barros,630489001879,+55 (041) 0578 7548,1
Gustavo Pires,4726672681943016,+55 (041) 6074-3606,1
nataliamartins,Android 6.0,Personal trainer,0
castrosarah,Android 7.1,Artista/Técnico em espetáculos de diversões,0
luiz-otavio75,Android 2.3.1,Policial federal,0
unogueira,Android 3.2.6,Pneumologista,0
larissa94,Android 7.1.2,Médico,0
Srta. Evelyn da Costa,4856197734912154919,61 6209-5973,1
Maria Alice Pinto,4571555232301,(011) 1767 9408,1
Lavínia Lopes,180028800379615,+55 (011) 9094 0071,1
alexandre23,Android 3.2.3,Profissional de reciclagem,0
Danilo Viana,6515554145450541,+55 81 8475 7351,1
Ana Mendes,3532206246089159,(011) 9381 6029,1
lcastro,Android 2.3,Avalista,0
cecilia05,Android 3.2.3,Caixa,0
Emanuelly da Mota,4836708142131436048,+55 (011) 5574-5400,1
alvesluiz-gustavo,Android 3.2.3,Ferroviário,0
Augusto Souza,30183329609752,(061) 4155-0892,1
mporto,Android 3.2.1,Pizzaiolo,0
Luiz Henrique Nunes,372165490160398,+55 81 5634-9300,1
das-nevessabrina,Android 4.0.4,Prensista,0
Thomas da Cruz,3521738013967095,+55 (011) 4633 7635,1
Yasmin Moura,6563841718799771,31 4305-9785,1
Bianca Pereira,36667289572921,+55 21 0398 3842,1
portoana-julia,Android 10,Piloto automobilístico,0
Lívia da Rosa,2222619199902029,11 7448-6738,1
Miguel Silveira,3574690947619001,+55 (071) 5291-2237,1
Maria Julia Teixeira,502065778107,(071) 8718-7075,1
dcunha,Android 4.0.3,Técnico em desporto,0
Renan Rocha,2720078406112947,(011) 1451 1515,1
Alice da Costa,180018716380542,(051) 0970 4684,1
paulo82,Android 3.2.4,Produtor de eventos,0
moraesana-beatriz,Android 2.1,Metalúrgico,0
ana-juliafreitas,Android 2.3.7,Salva-vidas,0
diogo54,Android 4.1.1,Diarista,0
Juan Silva,3578418967633751,51 1287 9181,1
Nicolas Azevedo,180034138189668,0500-733-8246,1
Ana Vitória Martins,3530571657697028,(021) 2027-1662,1
Gustavo Henrique Oliveira,180005380743964,+55 (084) 5319 1456,1
Sr. Pedro Henrique da Mata,4962660324602803,(031) 5899 6716,1
vitor09,Android 4.2,Engenheiro de produção agroindustrial,0
