Coluna A,Coluna B,Coluna C,Classe
carlos-eduardoteixeira,Android 2.3.7,Fonoaudiólogo,0
Vinicius da Rocha,213148489169680,31 3959-2294,1
gcampos,Android 2.3.1,Engenheiro de computação,0
Yasmin Correia,562727470873,+55 81 7134 5517,1
nascimentocaua,Android 4.0.3,Engenheiro de produto ou produção,0
isabel36,Android 9,Engenheiro acústico,0
Dr. Matheus Barros,4816088629783607,0500 609 9827,1
Fernanda Lima,180039499693836,+55 61 7245 0601,1
Gabriel Oliveira,30508692454297,+55 81 3389-3878,1
Dr. João Felipe Ramos,3523088466876585,(051) 3527-0079,1
vinicius07,Android 2.3.3,Técnico em documentação,0
Pedro Miguel Gomes,4447036318470561,0800 574 0869,1
vfernandes,Android 4.4.1,Cobrador de ônibus,0
Sr. Diego Porto,180017856225673,51 9800 3291,1
Evelyn Jesus,4159945416608577884,+55 (031) 9165-9105,1
ada-paz,Android 4.4,Alpinista,0
Sra. Melissa Moreira,4258466967486915,(021) 7125 7030,1
rodriguesvitor,Android 5.0.2,Mecânico,0
Dra. Ana Clara Dias,630483326504,(071) 9622 9923,1
Letícia Melo,3594520465368192,(041) 3363-4882,1
leticiasilva,Android 2.3.4,Bioquímico,0
dcampos,Android 2.2.2,Gestor ambiental,0
Isadora Cardoso,6544762087256249,(061) 3858 5482,1
Dr. Luigi Novaes,30014104180992,71 0729 0009,1
Dra. Emilly Pereira,180013381336275,11 3548 8967,1
Ana Sophia da Cruz,2267669771497100,+55 81 7705 6438,1
Ana Júlia Lopes,370339627663747,+55 (084) 4125-3520,1
Fernanda Araújo,6011090307965546,51 8859 2707,1
dfernandes,Android 5.0,Maestro,0
biancaferreira,Android 4.3.1,Luthier,0
castroeduardo,Android 2.3.6,Tecnólogo em desenvolvimento social,0
nathan64,Android 3.2.6,Leiteiro,0
Luiz Gustavo Gonçalves,4429718033534696,21 6340 5599,1
piresbernardo,Android 2.0,Nefrologista,0
lorenzopires,Android 4.3.1,Governanta,0
da-costagabrielly,Android 4.4.2,Regente,0
Augusto da Mota,676181723047,0300 962 7042,1
barbara13,Android 4.3,Portuário,0
raulda-cunha,Android 4.0,Técnico em aviação,0
Rafaela Barbosa,372243836771200,(011) 0829 1211,1
Raquel Souza,3581988409769517,+55 (031) 6468 5074,1
emanuellafreitas,Android 1.5,Cumim,0
walmeida,Android 11,Apontador de mão-de-obra,0
Ana Martins,4725966542035876,61 8042-3515,1
Ana Julia da Rosa,4770705947858654,+55 (021) 8358-8667,1
marcelo97,Android 5.1,Acompanhante,0
llima,Android 4.0.4,Crítico,0
portomirella,Android 2.2.3,Engenheiro de produção agroindustrial,0
pda-paz,Android 3.2.1,Piloto de avião,0
Valentina Campos,676153148744,61 5460-9371,1
Lucas Gabriel Melo,3531663768259845,(071) 3669 6607,1
Anthony Almeida,3529231668936674,+55 61 7279-0912,1
maria-luizasilva,Android 4.3,Designer de produto ou desenhista industrial,0
breno03,Android 2.3.3,Técnico em arquivo,0
Bruna Ferreira,5414389009852217,(041) 7682 4995,1
Maria Cecília Novaes,349541693433248,(081) 6094 8955,1
Thiago da Costa,3524515101825840,+55 (071) 6156 5078,1
da-cruzdavi-lucas,Android 9,Tecnólogo em esporte e lazer,0
sophiacorreia,Android 4.4,Escoteiro,0
matheus39,Android 8.0.0,Escriturário,0
marceloteixeira,Android 5.0.2,Carnavalesco,0
Dra. Ana Clara Porto,3565749143913104,+55 (011) 4584-2569,1
