Coluna A,Coluna B,Coluna C
Srta. Emilly Moraes,38491578332477,+55 41 2708-3266
1181151034361014821011182710136910119427103269,377310411811527104127156331277,2031011201011041151181271042691271031011181017314812126927110115119
Lívia Araújo,30330547483516,+55 (021) 0270-2059
1101151011153691481011021182726919410626911811826927118101,377310411811527104127322331398,203115482649118101104115118
10119427482101,377310411811527104127686331398,371181481214822697312027119120101
Ana Rodrigues,370836938894788,81 3742 2211
Diego Martins,2535994801135546,+55 (051) 1309 9321
Luiz Henrique Campos,4567050999723440,+55 51 9138 1580
Nicole Fernandes,3588968378739611,31 7702-0975
10611811510411827148121269119,377310411811527104127319331686,21347326912711911510327101194
2711910110110310312173436101,377310411811527104127324331686331398,213115194104101104115118
Sophie da Rocha,4521525223182823,+55 (071) 5591-6845
Dr. Rodrigo Sales,5279540454817774,+55 (021) 2915-1589
Raul da Luz,30043357756000,84 3891 7034
1041013691031181214411012119427101,377310411811527104127686398,17530611810136911712126910427119120101
Cauã Nascimento,3553226183460696,+55 (011) 2756-0059
1111192719428626927118101,377310411811527104127321331398,54269104101120115118
10311511912010119411511826973101,377310411811527104127319331277331156,20427118269120115118127104269127649118115104121305473115
1021182697311510144269286269104115,377310411811527104127277331277331319,21226973436101104115118
1101211942710119427482101,377310411811527104127277331319331277,2132719427120101118127104101127372691181157330612112027103101
123101194286269119,377310411811527104127277331277331319,21911110112027119120101
Guilherme Santos,180096118333434,+55 (081) 2616 8730
26919427119101319277,377310411811527104127321331686,17511826910626927120115
Srta. Ana Vitória Vieira,4120647488024485888,84 3432-7848
Dr. Emanuel Costela,4839422589730505111,+55 (041) 9679 6657
1941212714827686398,377310411811527104127319331398,20311544277343626927118101
Bruno Rodrigues,3561111066962135,+55 21 1214 3466
Stella Mendes,343441480155532,+55 81 0487 4598
Lavínia Novaes,6011087958281702,71 8899-9325
10319410111827103269324156,377310411811527104127277331277331319,5426928626973104269104115118
Pietro da Paz,4247548095433127,+55 84 4888 4353
Alana Barros,630489001879,+55 (041) 0578 7548
Gustavo Pires,4726672681943016,+55 (041) 6074-3606
73101120101194271014821011181202773119,377310411811527104127322331398,175269118119115731011941271201181012773269118
castrosarah,Android 7.1,Artista/Técnico em espetáculos de diversões
luiz-otavio75,Android 2.3.1,Policial federal
unogueira,Android 3.2.6,Pneumologista
larissa94,Android 7.1.2,Médico
21911812010133112720528626919445373127104101127203115119120101,156324321322686325323323319156325686277686321156325686325,322686127322277398325369321325323319
2131011182710112737194271032691271752773120115,156321323686321321321277319277319398686,490398686686327127686323322323127325156398324
2121012863107327101127212115649269119,686324398398277324324398398319323325322686321,415321321127490398686686327127325398325156127398398323686
alexandre23,Android 3.2.3,Profissional de reciclagem
20410173271941151272222710173101,322321686321321321156686156321156321398321156686,415321321127324686127324156323321127323319321686
377310112721326973104269119,319321319277277398322277156322398324325686321325,490398686686327127325319324686127322398277325
lcastro,Android 2.3,Avalista
cecilia05,Android 3.2.3,Caixa
20548210173121269194194453127104101127213115120101,156324319322323398324686156277686319686156319322398156324,415321321127490398686686327127321321323156369321156398398
alvesluiz-gustavo,Android 3.2.3,Ferroviário
3712114812111912011512721911512144101,319398686324319319277325322398325323321277,490398322686327127156686321321369398324325277
mporto,Android 3.2.1,Pizzaiolo
2121212744127208269731182711712126912729612173269119,319323277686322321156325398686322398319325324,415321321127324686127321322319156369325319398398
das-nevessabrina,Android 4.0.4,Prensista
