Coluna A,Coluna B,Coluna C,Classe
Caroline Rodrigues,Android 4.1.2,Cientista de alimentos,0
Davi Luiz da Cruz,340900984445791,61 5813-9187,1
Otávio Moraes,4499121817705274,+55 (011) 4377-8486,1
Dra. Sarah Novaes,4628965763638,81 1192 0671,1
Eduarda da Paz,3515645407486970,+55 (061) 0156 9998,1
Cauã Dias,213164543411356,+55 (021) 9516 1749,1
Raul Viana,6591218563822121,(031) 9742 6487,1
Srta. Sophie Cunha,4218136600768,31 1929 9543,1
Luiz Gustavo Ramos,Android 2.3,Tecnólogo em jogos digitais,0
Sr. Emanuel Rezende,Android 4.4,Moldador,0
Sr. Renan Fogaça,4570627914995,(071) 1868 3755,1
Luna Pinto,2712994412551284,84 9330-0638,1
Sophie Moraes,Android 2.1,Profissional de logística,0
Stephany da Luz,Android 4.4.1,Produtor fonográfico,0
Sr. Matheus da Rocha,213148175290832,+55 (081) 0060-0378,1
Isaac Martins,4089831966766,(084) 0126-8058,1
Sr. Lucca Lima,2236666841117799,41 0751 2552,1
Isis Vieira,Android 2.2.2,Embalador,0
Augusto Rocha,Android 3.2,Radioterapêutico,0
João Felipe Rocha,Android 5.1.1,Soldado,0
Daniela Cavalcanti,Android 3.0,Garimpeiro,0
Dr. Davi Lucca Costa,Android 1.0,Podólogo,0
Cecília Aragão,Android 4.0.3,Tecnólogo em produção Sucroalcooleira,0
Dr. André Nogueira,Android 4.0.3,Bioquímico,0
Bianca Campos,4513775978321956136,(011) 8259-9412,1
Maria Sophia Vieira,30256192811703,0900-220-0119,1
Sra. Eduarda Gomes,376690591799469,(084) 4708 7617,1
Maria Eduarda da Cruz,Android 8.0.0,Controlador de vôo,0
João Fernandes,Android 3.1,Tecnólogo em tecnologia da madeira,0
Maria Sophia da Rosa,2652346962329631,(041) 7656-8966,1
Agatha Souza,Android 5.0,Cenotécnico,0
Maria Clara Moraes,Android 3.2.5,Apresentador,0
Ana Sophia da Mota,Android 2.3.2,Torneiro mecânico,0
Ana Vitória Gonçalves,Android 4.4.4,Engenheiro sanitarista,0
Eduardo Porto,4225606808375,(021) 2501-2934,1
Ana Lívia Moraes,501841066902,0500-521-7872,1
Isabella das Neves,30469352193453,+55 61 2004-2497,1
Dr. Luiz Fernando Porto,342011264422878,(031) 6987-2499,1
Paulo Alves,Android 3.0,Faxineiro,0
Gustavo Henrique Pinto,4129903051681,61 8512 1970,1
Nathan Moraes,6011205977923837,61 0344-9593,1
Henrique Cavalcanti,Android 4.4.2,Agricultor,0
Nathan Silva,3588352057147190,11 8752 1092,1
Maria Cecília Rocha,Android 8.1.0,Agrônomo,0
Daniel Costela,4736312854320845,+55 (084) 1063-9725,1
Luiz Fernando da Conceição,676331130226,(084) 6895 0409,1
Heitor da Mata,2397987988254012,0800-213-1486,1
Murilo Cunha,Android 2.2,Psicomotricista,0
Dr. Heitor Nascimento,2257534002380263,(051) 9253 7919,1
Maria Julia da Rocha,6011810680297153,+55 (051) 8630 8462,1
Dr. Cauê Moreira,3590341804521845,11 1382 6181,1
Vinicius Ramos,Android 8.0.0,Meredeira,0
Dr. Theo Gonçalves,Android 6.0.1,Mecânico,0
Isabel Cardoso,30041021288756,(021) 5292 6775,1
Dr. Davi Luiz Novaes,676251093107,11 1435 4442,1
Theo Freitas,374313390333362,+55 21 8373-5251,1
Fernando Castro,6011248755719993,+55 (011) 8267 8902,1
Vitor Gabriel Rocha,566227238102,+55 (031) 3321 3930,1
Giovanna Cavalcanti,4084664588879522,0900 253 6685,1
Ana Luiza Novaes,Android 2.3.3,Engenheiro ambiental,0
Evelyn Aragão,4772519996444444197,(084) 4011-6754,1
João Miguel Novaes,Android 10,Guitarrista,0
Bárbara Costa,Android 4.4.4,Diretor de fotografia,0
Clara Rezende,4538036784372473,71 9921-5468,1
Diogo Vieira,370905044965301,61 2808 8779,1
Luiz Felipe Jesus,Android 1.0,Químico farmacêutico,0
Levi Ferreira,Android 4.1.2,Viveirista,0
Marcela Nascimento,3569123093877816,(084) 3650 1018,1
Brenda Pereira,180012675169806,+55 (061) 4298 9977,1
Sra. Bianca Silveira,Android 4.4.2,Porteiro,0
Marina Nunes,340718510898915,+55 (071) 1486-9530,1
Gabriela Teixeira,Android 9,Quiropraxista,0
Elisa Fernandes,4825817929538,(071) 5861 6134,1
Enzo Gabriel Moura,4900155619300034284,+55 (051) 8759-1643,1
Maysa Jesus,3555344385218057,(031) 6960 9102,1
Lavínia Carvalho,378950430199539,+55 (021) 1647-8775,1
Luana Vieira,676335204779,+55 (061) 1966-9769,1
Pietro Moreira,213100617257481,+55 (041) 3507 9876,1
Luiz Otávio Moraes,4603679348323076,+55 81 7564-5835,1
Daniela Monteiro,3586749736757202,+55 (021) 5512-5668,1
Laís Monteiro,Android 4.1,Endodontista,0
Fernanda Dias,Android 2.2.3,Montador,0
Sra. Sabrina Lima,6578715169876200,(011) 2764-5126,1
Esther Pires,4669408021325,31 5790-1041,1
Clara Peixoto,4418099976784892,31 3916 9671,1
Juliana Lima,30095755067992,+55 41 2508 8013,1
Diogo Nunes,Android 2.2,Geriatra,0
Henrique Caldeira,3514907143124773,+55 21 0899 9998,1
Emanuella Lopes,4198050666336,+55 (021) 0883 7552,1
João Felipe da Costa,Android 7.1.1,Ambientalista,0
Dr. Marcos Vinicius Ramos,213175507026238,11 4313 0328,1
Nathan da Paz,Android 6.0.1,Estoquista,0
Nicolas Moraes,4261242480869027,+55 (041) 7340 2034,1
Luigi Lopes,4286087700626232898,84 8838-6192,1
Alana Lopes,3510540574500460,+55 81 8935-6361,1
Pedro Henrique Pires,3556850320197791,(031) 7693-5793,1
Marcela Nascimento,213138919038266,+55 (061) 0518-6757,1
Raul da Costa,Android 2.2,Engenheiro de alimentos,0
Luiz Felipe da Mota,3527097627787835,(021) 1171-7591,1
