Coluna A,Coluna B,Coluna C,Classe
Alana Silveira,6011934844785703,(061) 8756 6703,1
Isabelly da Cruz,3534303819623031,(031) 7079-4123,1
Davi Lucas Sales,6011175283214074,+55 71 8341-0201,1
cda-luz,Android 2.3.1,Meteorologista,0
portomaria-sophia,Android 3.2.5,Engenheiro de telecomunicações,0
fnogueira,Android 4.3,Terapeuta Holístico,0
rafaela77,Android 7.1.1,Cadista,0
agatha46,Android 4.2.1,Profissional de tecnologia de laticínios,0
silveirafrancisco,Android 4.2.2,Lavador de veículos,0
Laura Gonçalves,6539330049689183,+55 (011) 6428-2594,1
valentinafogaca,Android 4.0.4,Odontologista preventivo e social,0
Pietra Pereira,4783297642651,51 8226 0180,1
marcelo90,Android 4.3.1,Tatuador,0
Maitê Mendes,4379456030146343,51 8682 9351,1
Marina Carvalho,3560719693429731,84 7690 7658,1
Nathan da Cunha,4422583446233865,+55 31 2973 4165,1
nicolas08,Android 2.2,Office-boy,0
Dr. Enzo Correia,30032437029462,+55 (084) 9381-9818,1
matheusfernandes,Android 6.0,Médico nuclear,0
Lívia Cardoso,370803231416180,+55 81 8102-5924,1
teixeirasamuel,Android 4.4.1,Aviador,0
Dra. Elisa da Conceição,3562018837349188,21 4069-7108,1
ana-julia94,Android 5.0,Eletricista de automóveis,0
jda-paz,Android 3.2.4,Pára-quedista,0
Julia Silva,4981166196352197738,0300-277-2823,1
Marcela Oliveira,3562198170751651,(011) 6916 4546,1
lorena16,Android 6.0,Plastimodelista,0
Srta. Maria Eduarda Freitas,30185480230609,+55 (051) 1455 3134,1
Levi Almeida,346388704258161,0900 985 6557,1
Dr. Guilherme da Luz,3567764890313323,+55 11 1644 1171,1
ucaldeira,Android 3.0,Tecnólogo em produção moveleira,0
Raul Correia,4796671350693223204,(071) 5468 5583,1
Emanuel Rezende,4585224187738,0900-988-8051,1
Diogo Nunes,2719614928919741,(071) 9995 9706,1
eteixeira,Android 4.2,Lactarista hospitalar,0
Emanuella Silveira,4062017048196292243,+55 71 7918 8360,1
Sarah Rezende,4421733303964,+55 21 0139-6407,1
Ana Júlia Aragão,4280840955016299300,31 9863 6755,1
andre95,Android 7.1.2,Kite-surfer,0
Sophie da Luz,630471485247,71 2790 6289,1
kmonteiro,Android 2.0.1,Diarista,0
luizacarvalho,Android 2.2.3,Estilista,0
Catarina Moura,30498129892675,+55 (071) 1124-4672,1
rodrigolima,Android 3.1,Assistente de câmera,0
Juan Dias,4961454690966385,0500 582 6880,1
ana-luiza80,Android 8.1.0,Ferreiro,0
Marcos Vinicius Duarte,6011515727018500,+55 (021) 2960-3980,1
Bárbara da Rocha,502026313903,21 7552-3760,1
rferreira,Android 5.0.2,Designer de moda,0
cecilia97,Android 1.6,Editor,0
ana-livia10,Android 10,Cobrador de ônibus,0
Rafael Barros,6522946983910001,0500-339-2251,1
cmartins,Android 4.4.3,Guia turistico,0
thomassilveira,Android 8.1.0,Lancheiro,0
João Fogaça,4765540384179117,31 7208-6881,1
viniciussilveira,Android 4.0.3,Contatólogo,0
Ana Beatriz da Mota,639042622550,(084) 1442-1321,1
voliveira,Android 4.2.1,Leiloeiro,0
Gabrielly Peixoto,180029452971527,+55 (011) 3136 3053,1
Bruna Oliveira,4351693194019697164,21 9814-5594,1
ecardoso,Android 2.0,Encanador,0
Isis Santos,4236921010587348,(081) 2122-4838,1
Dr. Thomas Silva,5208223752550589,21 4460 0303,1
Lucas Silveira,4015705622302619,(011) 8774-8336,1
henriqueda-cruz,Android 3.2.2,Psicomotricista,0
Clara da Paz,6011185679965304,(051) 2575-0093,1
heitorfarias,Android 11,Escritor,0
afreitas,Android 3.2.6,Perito judicial,0
Clarice da Costa,503809450979,+55 (021) 0864 0765,1
Luiza Rodrigues,3596766559223110,+55 (041) 6517 7138,1
ncostela,Android 6.0.1,Espeleologista,0
yurida-rocha,Android 10,Caça-talentos/Olheiro,0
vitorialopes,Android 7.1,Supervisor,0
pgomes,Android 7.1.1,Engenheiro agrônomo,0
Thomas Pires,2514334850031269,+55 81 3000-2804,1
Ian Mendes,3503004616519284,31 8461-0472,1
augustoferreira,Android 5.0.2,Brigadeiro,0
zteixeira,Android 3.2,Tecnólogo em automação industrial,0
Daniel Rocha,213189826875944,0900-339-7650,1
Julia Lopes,3532930095712930,+55 31 0465 5950,1
Guilherme Cardoso,180046568178599,(021) 7130-6489,1
iaragao,Android 2.3.4,Pedreiro,0
Alícia Pires,3593965198635758,0300 742 7450,1
eduardolima,Android 8.0.0,Sacoleira,0
nogueiramaria-julia,Android 4.4.2,Auxiliar de reprografia,0
vitor-gabriellopes,Android 4.0.3,Limpador de vidros,0
lda-mata,Android 3.2.1,Skatista,0
davi41,Android 4.1,Engenheiro de petróleo,0
lorenamelo,Android 4.1,Artista plástico,0
zgomes,Android 5.0.2,Gravurista,0
vitor-gabrielribeiro,Android 1.5,Gastroenterologista,0
Ian Fogaça,501890797159,+55 51 9648 3533,1
lucas-gabrielcardoso,Android 6.0,Psicomotricista,0
luiza90,Android 4.4.3,Violonista,0
guilherme06,Android 4.1,Médico,0
carolinecunha,Android 9,Perfusionista,0
Mariana da Costa,180055938948383,11 3320 0319,1
Larissa Duarte,574816713014,+55 81 5127-1533,1
Marcela Costela,4852634729123825,+55 (071) 0874-0287,1
Nina Almeida,564057505336,0300 305 6798,1
ceciliaaraujo,Android 6.0.1,Fisiculturista,0
lnunes,Android 3.2,Pneumologista,0
joao-lucas21,Android 4.1.2,Engenheiro de telecomunicações,0
liviada-costa,Android 3.2.5,Agente comunitário de saúde,0
Luana Almeida,576932237059,(081) 8050 6195,1
wda-cruz,Android 1.6,Copeiro,0
Isadora Cavalcanti,2294236866833495,(011) 2929-5473,1
ealmeida,Android 4.4.4,Cinematográfo,0
rmonteiro,Android 3.2.3,Endodontista,0
