Coluna A,Coluna B,Coluna C
Sra. Clara Silveira,3575708029479091,+55 (081) 8085-4262
Diogo Cunha,2250213920610567,21 5979-7957
Pietro Pereira,5473615923423406,(084) 7681-8755
21310111827101127371115482269119,377310411811527104127321331398331686,20343610111814827119120101
Luiz Felipe Oliveira,5259000372503612,+55 41 1167-4979
20411810133112737731011272031941011181011272961011191032748226973120115,377310411811527104127323331686,371191192691191191151181271042691272748264911826973119101
2021184531017312720427101119,377310411811527104127156331398331319,53812127441271042691271042711826927120115
Davi Lucas Novaes,630434278374,+55 (041) 7128 5982
20411833112753811547311512737110110211827269194127104101127213101120101,377310411811527104127156331277331277,17511811510627119119271157310119412710426912711826919410110327115731014822697312011512710311548212727732862691191202710411511826911912754250
Matheus Oliveira,344687004083670,0500 681 5059
2962710311519410111912720310119410426927118101,377310411811527104127686331321,54269104101120115118
Daniel Jesus,4327839540493714,0800-175-4283
2191183311271752691041181151272132714812126919412721326973104269119,377310411811527104127686331686,3728627101104115118
Cauê Castro,4947136552864514,(071) 1295-0902
Emanuel Silva,4142464890633244842,+55 21 6859 5327
Maria Luiza da Mata,30516650270555,81 8578-2279
542697310173127175115118120115,377310411811527104127323331686331686,212271652692711811565720311519426912011511812710426912719427165115
20548227194194453127213269194115,377310411811527104127322331398,203272697312027119120101127104101127277310611511848210130547311512726912710411510312148226973120101305473115
21310145311910112720611826927120101119,377310411811527104127156331156,20311519411564911811510312011519411514827119120101
21911810133112721211511826973101127538269119121119,377310411811527104127325,205731482697343626927118115127104269127119115482
Ana Sophia Cardoso,3573260791751689,0300-374-5489
2131011204362691211191272202692716526927118101,377310411811527104127277331319331277,21327194271201011181271041011272131011182773436101
204101286271272121211031011191273719448226927104101,377310411811527104127686331686,3712691191201151181271014821022726973120101194
213101453119101127203101118104115119115,377310411811527104127156331156331156,204121102194314
2054821017312126919412717526927165115120115,377310411811527104127686331398,21910110311519426927118101
204118331127205731182710311512717527118269119,377310411811527104127323331398,2031157312030610227194
Sra. Carolina Fernandes,6011715541673015,61 0907 0214
5841942728627101127203101119120118115,377310411811527104127277331277331686,21912110264911826910626927120115
2191181201013311272121011211181011272202692716526927118101,377310411811527104127321331398,22011511873269271181151274822691032317327103115
Sr. Lucca Fernandes,3534104852695831,+55 81 7131 5482
Sarah da Conceição,4489037346456266,61 5631-0126
37731206407327115127204121101118120269,377310411811527104127156331398,20326911827482115732710119427119120101
54269731017312729612173269119,377310411811527104127277331277,37112110111810410112711512112764911519427103271011941271181151041152862730611827115
Bruna Freitas,36880133192289,+55 21 8940 0121
João Pedro Viana,30443148911114,+55 11 9581 1131
Sarah Gonçalves,6566875433338108,+55 (084) 6289 0453
Dra. Bárbara Nascimento,4100617429369103,+55 71 0957-5544
212101286310732710112729612173269119,377310411811527104127323331686331686,21310112026948230612027103115
21911812010133112721911564943627101127104101119127296269286269119,377310411811527104127686398,3711012110410173120269127104269127649118115104121305473115
25011927119127175115118120115,377310411811527104127686686,17511811510627119119271157310119412710426912719411514831011912027103101
2132711826919419410112720626911811826927118101,377310411811527104127321331398331686,20210110245311927120120269118
2191011021182773101127296115286101269119,377310411811527104127322331398,20310111873101286101194269119103115
Ana Beatriz Silveira,4394635348769,+55 41 8233-3770
213101118271011272121212744101127202101118118115119,377310411811527104127156331686331277,204121102194101104115118
20410128627127212121103101119127213115121118101,377310411811527104127321331398,20311511912012111826927118101
204118101331127212101118101127212115649269119,377310411811527104127277331319331323,203115731201011022719427119120101
Lucca Aragão,4735539856830352,+55 81 2223 4381
212121274412758412030628627115127213115121118101,377310411811527104127277331319331686,22030810373271031151272694821272691042710627103101305315269119
21212110310111912737110110211827269194127202101118102115119101,377310411811527104127324331686331398,175118115148118101482101104115118
Sra. Emilly Freitas,6554068173910427,+55 (084) 8837-1834
2191183311271292692862773127202101118118115119,377310411811527104127686331322,37126911810110411511827119120101
2122691017310411811512720311511811826927101,377310411811527104127323331686331686,2051191481182748227119120101
Dra. Rebeca Farias,3567428341939546,+55 11 0278-0221
219118331127212115118269734411512710410112720311812144,377310411811527104127277331319331686,3711212712010111811827119120101
Laís Peixoto,3564677823172074,+55 (031) 4318-3716
Gabrielly Fogaça,3576090450264121,+55 41 4588 8910
Igor Barros,5150906328905141,+55 31 0113-5241
Samuel Nunes,3542874491882251,+55 81 6785 1283
Paulo Sales,501869391380,+55 (021) 1769-0823
Diego Teixeira,675917170739,+55 71 3522 0863
175101121194115127202101118102115119101,377310411811527104127321331686,2192691182862697312012130611827115
Sr. Bryan Gonçalves,4925531817124676965,+55 (084) 5480 4880
53811547311512720626919427649269127203101118104115119115,377310411811527104127156331277331277,2031151181182691201151181271042691272748235228626927119
2191181201013311273719431010327101127203101119120118115,377310411811527104127323331686,2203081037327103115127269482127104269119649115118120115
2251211182712720626911811826927118101,377310411811527104127321331686331686,205119120115106101104115118
1752691041181151272132714812126919412710410112720312173436101,377310411811527104127319331277331319,1751181151062711911927115731011941271042691274821017312112026973305473115127277310412111912011827101194
Brenda da Conceição,5143272654383076,0500 638 8479
21310127120314127104101127203115119120101,377310411811527104127686331686,37148269731202691276492697327120269731032730611827115
Maria Alice Mendes,4923135127438,71 1352-7752
Nicole Cardoso,4663625807897,+55 (084) 8257-8620
54269731017312737194286269119,377310411811527104127277331319331321,20311544277343626927118101
Valentina Gomes,36607513192948,21 8875-6527
222271201151181273711011021182726919412721927194286101,377310411811527104127277331319331277,20511912010148264910110411511812710426912712026910327104115119
37121148121119120115127175115118120115,377310411811527104127319331686,29626910311811548210111712127101104115118
Dr. Matheus Vieira,4361793133610761,+55 (041) 6500 4648
2041012862712721212110310310112754115103436101,377310411811527104127686331398,2031151021012710112721330810427103101
Juliana Costa,4247402655660404920,+55 (084) 7897 5516
220436115482101119127203101118104115119115,377310411811527104127156331156331277,2131017311510211827119120101
Srta. Luana Duarte,4092897832798333188,0500-247-6796
Emilly Rezende,3590775075647914,+55 (031) 6966 9843
