Coluna A,Coluna B,Coluna C
Sra. Clara Silveira,3575708029479091,+55 (081) 8085-4262
2042711514811512720312173436101,277277321398277686319325277398322686398321322323,277686127321325323325369323325321323
1752726912011811512717526911826927118101,321156323319322686321325277319156277319156398322,490398324156327127323322324686369324323321321
Maria Gomes,Android 5.0.1,Chargista
2121212744127206269194276492691275841942728626927118101,321277321325398398398319323277321398319322686277,415321321127156686127686686322323369156325323325
Dra. Ana Clara Nascimento,Android 7.1,Assessor de imprensa
Bryan Dias,Android 4.0.3,Juiz de direito
20410128627127212121103101119127296115286101269119,322319398156319156277323324319323156,415321321127490398156686327127323686277324127321325324277
Dr. João Gabriel da Mata,Android 4.2.2,Profissional de relacionamento com investidores RI
2131011204362691211191275841942728626927118101,319156156322324323398398156398324319322323398,398321398398127322324686127321398321325
Nicolas Caldeira,Android 1.5,Redator
2041017327269194127538269119121119,156319277323324319325321156398156325319323686156,398324398398369686323321369156277324319
Sr. Pedro Miguel Mendes,Android 1.1,Aviador
203101121314127203101119120118115,156325156323686319322321321277324322156321686156,490398323686327127686277325321369398325398277
2054821017312126919412721927194286101,156686156277156322156324325398322319319277156156324156277,415321321127277686127322324321325127321319277323
213101118271011272121212744101127104101127213101120101,319398321686322322321398277323398321321321,324686127324321323324369277277323325
Renan Porto,Android 7.1.1,Lixeiro/Coletor de lixo
Emilly Melo,Android 6.0,Cientista da informação e documentação
Maysa Freitas,Android 4.4,Coloproctologista
Sra. Lorena Jesus,Android 9,Engenheiro de som
377310112721911564943627101127203101118104115119115,319321323319277322398323325686323321686322324325,398319398398369319323156369321156324325
Matheus Teixeira,Android 2.3.2,Militar da Marinha
Davi Lucas Almeida,Android 1.1,Gestor ambiental
Maysa Cardoso,Android 4.4.4,Dublê
Emanuel Peixoto,Android 1.0,Sacoleira
Dr. Enrico Pires,Android 7.0,Contábil
21911810133112720310111811519427731011272062691187310173104269119,322398686686323686321321156686322323319398686321,322686127398325398323127398277686156
Olivia Castro,Android 2.2.1,Subprefeito
Srta. Laura Teixeira,Android 5.0,Torneiro mecânico
2191183311272121211031031011272062691187310173104269119,319321319156686398156324321277322325321324319686,415321321127324686127323686319686127321156324277
2191011181014361271041011272031157310326927305473115,156156324325398319323319156322156321322277322322,322686127321322319686369398686277322
Antônio Duarte,Android 4.0,Cerimonialista
Renan Nunes,Android 2.2,Guarda ou policial rodoviário
2021181217310112720611826927120101119,319322324324398686319319686325277277324325,415321321127277686127324325156398127398686277686
5381154731151271752691041181151272222710173101,319398156156319686156324325686686686686156,415321321127686686127325321324686127686686319686
21910111810143612737111573305101194286269119,322321322322324323321156319319319319324686398324,415321321127490398324156327127322277324325127398156321319
2041181013311272023061181021011181011272961011191032748226973120115,156686398398322686323156277325319322325686398319,415321321127323686127398325321323369321321156156
212101286310732710112729612173269119,377310411811527104127323331686331686,21310112026948230612027103115
Srta. Sophia das Neves,Android 10,Ajudante de produção
Isis Porto,Android 11,Profissional de logística
Mirella Ferreira,Android 5.0.1,Babysitter
Sabrina Novaes,Android 6.0,Carnavalesco
377310112720226910112011827441272192719428626927118101,156319325156322319321319156324323322325,415321321127156686127324277319319369319323323398
Maria Luiza Barros,Android 4.1.2,Dublador
Davi Lucas Moura,Android 5.0,Costureira
Dra. Lara Lopes,Android 2.3.7,Contabilista
21212110310310112737118101148473115,156323319321321319325324321322324319398319321277,415321321127324686127277277277319127156319324686
Luiz Otávio Moura,Android 2.3.1,Técnico em edificações
Lucas Gabriel Barbosa,Android 8.1.0,Programador
2191181013311272054822719419445312720611826927120101119,322321321156398322324686323319325686398156277323,415321321127490398324156327127324324319323369686324319156
2191183311271292692862773127202101118118115119,377310411811527104127686331322,37126911810110411511827119120101
Leandro Correia,Android 7.1.1,Esgrimista
2041181013311275426910226910310112720610111827101119,319321322323156277324319156686325319325321156322,415321321127686686127398277323324369398277277686
Sr. Lorenzo da Cruz,Android 2.3.1,Guitarrista
21210131011912717526927165115120115,319321322156322323323324277319686323277398323156,415321321127490398319686327127156319686324369319323686322
37110110211827269194194453127206115148101305101,319321323322398325398156321398277322156686277686,415321321127156686127156321324324127324325686398
250148115118127202101118118115119,321686321398325398322319277324325398321686156686,415321321127319686127398686686319369321277156686
21910148212126919412729612173269119,319321156277324323156156325686324324277277321686,415321321127324686127322323324321127686277324319
175101121194115127219101194269119,321398686324322325319325686319324398,415321321127490398277686327127686323322325369398324277319
204272691481151272202692716526927118101,322323321325686323686323398323319325,415321321127323686127319321277277127398324322319
Paulo Barbosa,Android 5.1,Serventuário
Sr. Bryan Gonçalves,4925531817124676965,+55 (084) 5480 4880
João Felipe Cardoso,Android 4.2.2,Corretor de imóveis
Srta. Alícia Castro,Android 7.1,Técnico em desporto
2251211182712720626911811826927118101,377310411811527104127321331686331686,205119120115106101104115118
1752691041181151272132714812126919412710410112720312173436101,377310411811527104127319331277331319,1751181151062711911927115731011941271042691274821017312112026973305473115127277310412111912011827101194
202118269731041011271041011272031157310326927305473115,321686156319277323277322321156319324319398323322,398321398398127322319324127324156323325
Maitê da Costa,Android 1.1,Agente penitenciário
Maria Alice Mendes,4923135127438,71 1352-7752
29627103115194269127203101118104115119115,156322322319322277321324398323324325323,415321321127490398324156327127324277321323369324322277398
Renan Alves,Android 2.3.5,Cozinheira
222101194269731202773101127371115482269119,319322322398323321686319686325277325156324,277686127324324323321369322321277323
Vitor Gabriel Silva,Android 2.3.2,Estampador de tecidos
Augusto Porto,Android 3.1,Necromaquiador
2041183311272131011204362691211191272222726927118101,156319322686323325319686319319322686398323322686,415321321127490398156686327127322321398398127156322156324
Davi Lucca Rocha,Android 1.0,Cobaia Médica
5381211942710173101127203115119120101,156277156323156398277322321321322322398156398156325277398,415321321127490398324156327127323324325323127321321686322
Thomas Cardoso,Android 4.4.2,Manobrista
21911812010133112721212110173101127204121101118120269,156398325277324325323324319277323325324319319319686324324,398321398398369277156323369322323325322
20548227194194453127542694426973104269,319321325398323323321398323321322156323325686156,415321321127490398319686327127322325322322127325324156319
21210112111810112720626911811826927118101,156319156156319686321324325277322319398156323321,415321321127319686127398323323398127398324321322
Miguel Rocha,Android 4.0.1,Vigia parlamentar
2042711514811512721311511826927118101,322321319321277156321319398156323323686325321686,415321321127686686127398322322321369323325156156
213101118271011272062691187310173104101127175115118120115,319324319319398398319323321324277156323277,686686127398686322686369277324322323
2082691941153101191011272222726927118101,319321322156325325156277324323322324324321277319,398319398398369324322322369398156277398
Eduarda da Mota,213109764208569,+55 21 3227 3661
Dr. Rafael Barros,Android 3.2.4,Transcritor
Noah Campos,Android 4.0.2,Lutador de kung fu
213101271203141272031012861011941031017312027,322398686686277321321325325323321322324319319322,415321321127490398323686327127319398398322127398156686323
22227120352118271011272131157312026927118115,319156398156325398325686319322321686277686156,415321321127490398323686327127319156324277369156325686321
Breno Azevedo,213176911103134,81 2413 1162
21911833112720626919427649269127212115649269119,156324398321323156398156277323277324325,322686127323319323686369398321324319
2191181013311275381151017310112720610111827101119,319398319323686321686398324324686323324686,415321321127490398324156327127322319686319127325686156324
Maria Luiza Castro,Android 4.0.1,Engenheiro acústico
225101148115127213115118101269119,321324319323686319322319277323323686,415321321127686686127325322319686369319319319324
212121274412737112111912010128611512729612173269119,156324398321325322323325156324324321323324322324323325323,277686127319277156156127156321324325
Dr. Paulo Nunes,3573028737373698,0500 993 6183
Matheus Melo,Android 3.2.4,Sonoplasta
Luiz Fernando Moreira,Android 2.3.2,Administrador de banco de dados DBA
Maria Eduarda Nogueira,4116910078605402,+55 61 0266-0221
2131011182773101127202101118102115119101,319323323324686323321319156156156398277156321,415321321127156686127323686156277369325323322398
538115473115127175269104118115127203115119120269194101,156398319325325324156324156321322686156,415321321127490398322686327127156686323323127319686321323
Dra. Mirella Rocha,Android 5.1.1,Profissional de recursos humanos
541151041182714811512710410112720311812144,319156324325319319325319325398322156398323398,415321321127490398319686327127322319325686369398324321156
2191011021182773101127202101118118115119,156323319323686322398398156322686319156325323319,324156127277156319156369156398277156
371942710326912729611514812126927118101,156686686321325323156398398322156156325,398321398398127325325319127325323398323
204118331127212121274412720626911873101731041151271041011272031157310326927305473115,319321322325156324321325156156322398319277321323,415321321127490398319686327127323325156686127322156686325
2131011182710112753812119427101127212115649269119,156277686324398277319324156325319324325325398321,490398324686327127156686325319127324277686277
Paulo Novaes,Android 4.1.2,Tenente
Isabelly Moreira,6558135353013607,(021) 5140 3274
Gustavo Henrique Mendes,Android 2.3.2,Turismólogo
João Guilherme Caldeira,Android 1.1,Inspetor
Esther Campos,Android 6.0.1,Tecnólogo em produção moveleira
Pedro Henrique Nunes,Android 4.3,Quiropraxista
Alana Nogueira,Android 3.2.3,Aviador
Manuela Moreira,Android 4.2.2,Educador
Calebe Moreira,3520788698892473,+55 11 0760 1664
175269104118115127208269731182711712126912721311511826927118101,377310411811527104127322331398331686,17510112011519411514827119120101
21310111827101127205104121101118104101127371115482269119,156324319686322686686322323686156325156323322324277322319,490398321686327127398398325686127686319156156
17526910411811512721212110310111912710410112721212144,322321156323398319323319323322686324398156319321,415321321127323686127322156324321127686686156277
3773101127212310286271011271041011272031157310326927305473115,156156321323325321319319324322277156324,415321321127156686127277686325156127323156686323
Srta. Caroline Farias,Android 3.2.4,Protesista
Yago Castro,Android 3.2.5,Astronauta
Emanuella Pires,Android 6.0.1,Cientista
20626919427649269127104101127203115119120101,156322398325277156156325686325686398277319322156323324156,415321321127490398686686327127322156686322127398277324156
2191181201013311272131011182710173269127542710226927118115,319156156686323398156322277321686324319322277,415321321127156686127398156156277127322322325398
Dr. Thales Martins,Android 8.1.0,Fisiculturista
21911810133112721210111827119119101127104101127213115120101,156277321323686322325324325319156322156686319322,398319398398127398324686127323277277156
Juliana Freitas,6538834695283994,21 6554 8788
377310112721212127441011272031012861011941031017312027,319321321398321156686686323321156321398156325156,415321321127490398321686327127277323324324127322322322322
Maria Nogueira,Android 3.2.3,Bombeiro
Kaique da Conceição,Android 4.0.4,Toxicologista
2204362710114811512717527118269119,319398686398321319398156323321156156156156,415321321127490398324156327127321398324324369321321323156
2054821017312126919412737111573305101194286269119,156325686319277319325319321686686322156156319686,415321321127490398277686327127319686325324127319277321321
Sr. Felipe Aragão,Android 3.2.6,Profissional de relacionamento com investidores RI
Theo Pires,Android 1.5,Tabelião
Ana Clara Novaes,Android 5.0.1,Lutador de taekwondo
Sabrina Ferreira,Android 3.2,Maitre
377310112720310111811519427731011272131157312026927118115,319323323325319277321322398323324156156325323,322686127321325398321369319277321398
Isadora Souza,Android 7.1.2,Odontologista legal
377310112721212127441011275411510411827148121269119,156325322325319156323277322323321398324398277277,398325398398369319398319369322323321325
20226973110101482277312737118101148473115,319321277322319686156686323324324322322325322277,415321321127490398321686327127322324277322127277324156324
Lavínia da Cruz,180067309635960,+55 (041) 7218-1904
Sabrina Peixoto,Android 1.1,Infectologista
Olivia Freitas,3581071032699896,11 3754-2566
219118120101331127204101732726919410112737118101148473115,319321398398319325323321321277325325324398323686,490398321686327127323686398325369277686321686
20410128627127212121103103101127203101118104115119115,377310411811527104127321331398,17511811510627119119271157310119412710426912711826910312111811911511912743612148210173115119
17510112119411512720610111827101119,156686325321156325321156323323325325325321324322319156322,415321321127490398322686327127398325398324369277321322325
Ana Julia Freitas,4255236829775364,+55 (051) 7714-3956
Lavínia Cavalcanti,Android 3.2,Dogueiro
5381154731151272132714812126919412710410112754115119101,156398325156277398277324686323319686323,415321321127156686127398156325321369322398156324
204101732719411512720611826927120101119,156319325322156686686325322321686277156324325323,415321321127324156127277323321325127319323324156
Lara Viana,Android 10,Comissário de bordo
Bruno Pires,Android 3.2.3,Técnico em tratamento de água
3711011021182726919412720610111827101119,377310411811527104127156331398331686,21326911912011826912710326911828626911026927118115
Maitê Ferreira,Android 11,Nutricionista
Clarice Pinto,4014120477853644,(081) 2489-6373
22043627101148115127104101127203115119120101,377310411811527104127156331319331686,2042697312027119120101
Fernando Pereira,4330128650034095,81 6702 6327
54269731017312720312173436101,319398319319324325156686319322277325277686,398321398398369324319686369398321398323
2054821017312126919419445312737118101173110115,319321324323319319324277686322156323398277321686,415321321127686686127322156323323369321319321325
377312043611573453127542694426973104269,156686323325686686319325324321686321277,415321321127319686127322323323277127321156156325
Maria Mendes,Android 7.0,Engenheiro de produção agroindustrial
Emanuel Rodrigues,Android 4.2.2,Pastilheiro
371942691652710112754115103436101,156319156398321321323324156324277321277325686277,415321321127490398324156327127686322277321127277277319319
Maria Vitória Silva,Android 9,Maitre
538115473115127104101127213101120101,319398686156321156398319319686277156277686,415321321127324156127325398686156369324323321323
21911812010133112721212173101127204121101118120269,156319319686398323323686398319321156277,490398323686327127325398686321369156686398277
Samuel Cardoso,Android 1.0,Protético dentário
Nathan Peixoto,Android 2.2.2,Assistente de direção
Daniel Vieira,Android 2.0.1,Técnico em agropecuária
175101121194115127212115649269119,322319398156319323686324398398321322,415321321127490398324156327127323321322277369324323321325
Pedro Nogueira,4998137289660495512,(031) 2733 1772
220436269115127538269119121119,319156321322686323398321321324325322321324324,398319398398127321325277127686323686323
Ana Vitória Gomes,Android 2.1,Artista de circo
Luna Pires,Android 4.4.1,Vendedor
21212110173101127203101482649115119,319398686323321325686277323319398398325156,490398322686327127398325321686127323686277277
3773101127538121194271011272131011181202773119,322398686686325398277156322322325325321277686321,415321321127277686127319322277156369324686398156
Rafael Gomes,Android 4.0.1,Presidente da República
3711211191201012861151273719448226927104101,319398319686321156324324398324156398398686,415321321127321686127398156325398127156325322322
Diogo Santos,Android 4.0.3,Editor
54269731017312710410112717510144,322323322686686324325686156321321277,415321321127490398322686327127156322686321369156325322323
3719426916527101127203115119120101,156321686319319324319322324324277325277323324398,415321321127490398323686327127156322321322369324323323319
2121211017310112721910173120115119,319321325686686324321325325156321322322686277686,319686127323325322325369323323321321
250119101104115118101127371115482269119,377310411811527104127277331319331156,22011827101120194269120101
Luiz Fernando Nogueira,Android 2.0,Major
Yasmin Mendes,6544366406604590,+55 31 3835-8110
Dr. João Vitor Aragão,6513843385779053,+55 (021) 3307 1522
Marcela Barros,Android 2.3,Cadista
Arthur Costela,Android 3.2.2,Chargista
Ana Beatriz da Cunha,4358110718756171,(084) 6906 1018
1291012711712126912720610111827101119,319321325686156322325319325156324398324277322686,415321321127319686127686686319321127322324321156
5381154731151272132714812126919412710410112720311812144,686324398398686156398323156398322322398322277,415321321127490398277686327127325686322322369321324686322
1291012711712126912720610111827101119,156686277323686277156322686156322325277277321323,490398321686327127398686398324127324323322321
219115649436272691273744269286269104115,377310411811527104127277331319331156,20826910110443612173120269118
212121274410112720611826927120101119,377310411811527104127686398,17526910411826927118115
Enzo Melo,Android 3.2.4,Guitarrista
Maria Melo,4544516188331086,+55 51 7187 3475
Evelyn Lopes,Android 2.2.1,Artista/Técnico em espetáculos de diversões
Carolina da Paz,Android 5.0.1,Técnico em aviação
21310111827731011272192719428626927118101,156322686324156324156323321398398686324325321322398156321,415321321127490398156686327127398325321322127321277321323
20410128627127212121103101119127212115649269119,156322277156319686398686323323325321325322322322,490398319686327127156321323321369686398323323
1752726912011811512729612173269119,377310411811527104127277331686,53811514810110411511812710426912728664019426927
