Coluna A,Coluna B,Coluna C,Classe
Renan das Neves,4887606402879,(011) 7235-2032,1
Maria Cecília da Rosa,4833434180680239,0500-457-1226,1
Evelyn da Cunha,4228090972598162,+55 11 6150-3711,1
Luiz Gustavo Pinto,4644566823953157,+55 (011) 6343-0784,1
Maria Cecília da Luz,4005968090210927055,0300 931 2485,1
Erick Vieira,30542602363785,+55 41 1320-7428,1
Dr. Raul Costela,4548664812501355,+55 (084) 6765 0174,1
Pietra Novaes,213138904688778,31 5029-9170,1
Henrique Gonçalves,4923435776071719883,+55 (081) 5140-8533,1
Maria Julia Novaes,180019610878011,+55 (051) 6059-8885,1
Isabella das Neves,630400577494,+55 (041) 2297 2473,1
Nicolas Moura,3517214674168205,(041) 2732-8633,1
João Silva,676250663967,+55 (084) 5234-5283,1
Luiz Miguel Melo,676352765140,31 7369-0403,1
Dr. Juan Costa,30278217293675,21 1844-8470,1
Enrico Jesus,4923055568748673158,+55 (081) 7952 4339,1
Maria Vitória Silva,30255203288513,+55 81 0426 4178,1
Isis Lima,2706676839405651,+55 51 9890 5519,1
Eduardo Moreira,4057609198978449,0800 342 1666,1
Laís Rodrigues,30038783880200,0800-206-7035,1
Leonardo da Mata,213102581622757,(021) 8443-2594,1
Marcela Martins,4438549945972747937,11 7193 7430,1
Isabelly Cardoso,4866295145158672,(031) 3127 3608,1
João Felipe Ribeiro,30170765007906,0500-692-0954,1
Ryan da Costa,6549348167731593,(081) 5247-8261,1
Sr. Luiz Henrique Barros,4816281294053538819,31 4670-3789,1
Srta. Ana Barbosa,4231238236563,0500 216 7416,1
Paulo Martins,676137333438,+55 31 3378 6134,1
Yago Souza,570266770926,(051) 7736-9783,1
Theo Fogaça,4844912585591860188,+55 (011) 2998 9367,1
Thomas Lopes,180068849527618,84 0015-6152,1
Isabella Costa,3525294020885306,0900-514-2430,1
Srta. Evelyn da Cunha,30354502330223,61 8502 5251,1
Lorena Nogueira,340537818656084,+55 (011) 7722-1918,1
João Felipe Ribeiro,676184079298,+55 51 1335 4326,1
Maitê Duarte,4990965977042,(011) 9485-0095,1
Luiz Felipe Monteiro,180018936619927,0500-267-1593,1
Julia Lopes,4966893226619718,51 2752 0009,1
Sr. Gabriel Cardoso,213102067767472,+55 (031) 2643 2804,1
Francisco Monteiro,4518064142154932,+55 41 0907-5563,1
Lorena Vieira,4672333714580002,+55 81 0166-9086,1
João Lucas da Costa,4840096556902,(084) 6546 9735,1
Sr. Renan Nunes,3586891548450137,+55 (021) 7992 9450,1
Sr. Yago Ramos,6563464560074720,+55 61 9405-1635,1
Sra. Mirella Cavalcanti,2720431514309816,41 5284 3029,1
Clara Santos,4992311371111905215,84 1103-3751,1
Sr. Vitor Hugo Rocha,30527930985128,+55 (031) 6554-4297,1
Helena Alves,377464208626708,+55 11 9830-3041,1
Thales Martins,6011800583626509,+55 (021) 6236 9743,1
Alana Nunes,4626640362161803,0800 276 7159,1
Ian Correia,2249679590206072,(051) 3109 0948,1
Dra. Maitê Nascimento,6573184305273910,(084) 4593 5743,1
Larissa Araújo,213153166568006,+55 31 5441-9901,1
Thiago da Paz,4815415387896308,0800 757 1680,1
Gustavo Henrique Dias,6011925291027177,(071) 1127 3698,1
Dr. Gabriel Alves,38745929256697,+55 11 0577 0958,1
