Dado A,Dado B,Dado C,tipo do dado
Ana da Conceição,Android 4.4.1,Programador,0
Clara Sales,Android 6.0,Cartunista,0
Dr. Bryan Peixoto,4646378466420744107,11 5189-1564,1
Luiz Gustavo Almeida,Android 2.3.7,Ferreiro,0
Gabrielly Carvalho,213173502878430,+55 (011) 3228 4806,1
Samuel Correia,Android 6.0.1,Representante comercial,0
Ana Carolina Souza,Android 2.2,Mágico,0
Luiz Miguel das Neves,2269647769866245,+55 61 2521 8442,1
Ana Lívia Nunes,30351593157937,+55 (084) 2459 9228,1
Pedro Miguel Viana,Android 2.3.4,Instalador de painéis,0
Sr. Eduardo Souza,4224956031869337,(071) 3975 0895,1
André Nunes,3590426368741218,51 1393 6834,1
Pedro Henrique Rocha,377392202772204,71 6478-7358,1
Vitória Cavalcanti,Android 3.2.6,Ortodontista,0
Melissa Araújo,3572492104857405,(061) 3651 9434,1
Sr. Eduardo Rocha,Android 9,Profissional de logística,0
Antônio Aragão,4327639728111498380,(051) 7530-7582,1
Davi Lucas Correia,4736128075531261,61 2089-8405,1
Erick da Cruz,Android 2.3.5,Espeleologista,0
Ana Vitória da Cruz,Android 4.2.2,Engenheiro aeronáutico,0
Joaquim Vieira,180091892396319,+55 (021) 8622 4473,1
Igor Viana,4544337470782088,41 6171 0905,1
Eduarda Oliveira,Android 4.2.1,Tecnólogo em produção moveleira,0
Milena Carvalho,Android 2.3.1,Tecnólogo em irrigação e drenagem,0
Dr. Lucas Gabriel Lima,3584427839884080,(051) 4797-4705,1
Elisa Porto,3575812919098860,(081) 8701-3214,1
Dr. Vitor Gabriel Azevedo,Android 4.2.2,Guia turistico,0
João Guilherme Carvalho,3529809196533475,+55 71 7709-1902,1
Fernanda da Conceição,2293446948455040,+55 21 4076 2029,1
Bernardo Costela,Android 2.2.2,Ambientalista,0
Ana Beatriz Fogaça,4247274016016195834,(071) 5160 4147,1
Yuri da Conceição,4664939690376569,+55 81 2579 3697,1
Sr. Vinicius Duarte,378409117618337,(051) 6036-4667,1
Maria Luiza Jesus,Android 2.0.1,Petroleiro,0
Gustavo Henrique Moreira,Android 5.1,Trilheiro ou músico de cinema,0
Miguel Lima,Android 4.0.1,Arquiteto,0
Beatriz Vieira,4729229506719100,+55 (071) 8484-3563,1
Bárbara Melo,4394718254793659,+55 51 2120 1845,1
Valentina Azevedo,4572012973349892,+55 (084) 3887-8443,1
Dr. João Gabriel Rodrigues,Android 4.0.2,Controlador de vôo,0
Cauê Farias,4465066209049663171,+55 11 0135 3449,1
Guilherme Lima,Android 2.2,Classificador contábil,0
Ana Carolina Dias,Android 1.5,Portuário,0
João Guilherme Nogueira,3507864073007495,51 5775 7534,1
Sofia Pires,Android 4.3,Parteira tradicional,0
