Dado A,Dado B,Dado C,tipo de dado
Vitória Fogaça,Android 2.2.1,Enólogo,0
Caio Silveira,Android 2.3,Operador de vídeo,0
Stella Cavalcanti,4677970448031208687,+55 (061) 6876-1303,1
Davi Santos,3556700859774520,+55 31 2666 5933,1
Maria Cecília da Mata,Android 2.3.4,Cobaia Médica,0
Vicente da Conceição,Android 5.0,Cobrador de ônibus,0
Larissa Silveira,Android 2.3.2,Tabelião,0
Srta. Luiza das Neves,4677433409899000138,(051) 4233-0733,1
Bianca Porto,Android 11,Dogueiro,0
Enzo Souza,3502783596353084,51 5620 9238,1
Marcos Vinicius Rodrigues,3508893716090815,(051) 8191-4282,1
Rodrigo Sales,Android 10,Ilustrador,0
Clarice Monteiro,Android 4.2,Assessor de imprensa,0
Noah Cunha,4774223825130,(011) 1962 8079,1
Matheus Moraes,Android 2.3.5,Engenheiro mecatrônico,0
João Lucas Moraes,Android 2.3.7,Estivador,0
Enzo Gabriel Barbosa,Android 2.2.2,Karateca,0
Dr. Bryan Pereira,3508636801985765,51 1783 2264,1
Ana Sophia Almeida,Android 4.2,Jogador de basquete,0
Eduarda Rodrigues,Android 5.1.1,Profissional de tecnologia de laticínios,0
Isabelly Sales,4008772793094929,84 1333-0323,1
Nina da Conceição,Android 7.1,Especialista em agronegócios,0
Eduarda Cardoso,Android 2.3.2,Bombeiro,0
Rebeca Cunha,3579713914242303,84 2680 1695,1
Bryan Campos,Android 5.0.2,Profissional de relações públicas,0
Ana Laura Carvalho,6011818298940528,+55 71 4313-5012,1
Bryan Almeida,Android 4.2,Peão de rodeiro,0
Thomas Costela,6011263006456964,+55 84 8794 3472,1
Yuri Araújo,6011643774139290,(084) 1581-2066,1
