Dado A,Dado B,Dado C,tipo do dado
Gustavo Henrique Pires,Android 2.3.4,Barman,0
João Pedro Souza,Android 3.2.6,Contramestre em transporte marítimo,0
Lívia Peixoto,675988235130,41 7143 1700,1
Francisco Pinto,6011570386264416,+55 (021) 1623 9198,1
Julia Silva,4379450983931,0800 734 8229,1
Pietra Campos,Android 4.4.2,Major,0
Srta. Emanuella Campos,4970800615135101,(011) 1212 1116,1
Theo Azevedo,213185965333562,0800-967-2306,1
Manuela Moura,Android 2.3,Diretor de produção,0
Sr. Isaac Souza,Android 4.4.2,Profissional de recursos humanos,0
Igor Lima,Android 6.0.1,Webmaster,0
João Miguel Sales,Android 5.0,Cientista social,0
Larissa Alves,Android 3.1,Técnico em segurança do trabalho,0
Rebeca Fernandes,Android 2.2,Técnico em radiologia,0
Catarina Nogueira,4189993055496534,(061) 8659 0437,1
Sr. Rafael Costela,Android 9,Fisioterapeuta,0
Matheus Jesus,Android 3.0,Cirurgião dentista,0
Isadora Santos,Android 6.0.1,Soldador,0
Miguel da Mota,Android 3.2.2,Biomédico,0
Nathan Oliveira,Android 2.2.1,Lactarista hospitalar,0
Sra. Bruna Rezende,Android 4.4.1,Eletricista de automóveis,0
Eduarda Melo,3542420527389380,+55 (021) 8842-4553,1
Sr. Thales Nogueira,378398433514504,+55 31 8726 1967,1
Sr. Bruno Costa,Android 4.0,Auxiliar de reprografia,0
Sr. Guilherme Santos,3561126384411680,(051) 3782-5602,1
Ana Beatriz Novaes,2250732249048969,+55 51 2239 7275,1
Dra. Amanda da Paz,213141001442859,+55 51 5784 0511,1
João Miguel Gonçalves,Android 11,Cobaia Médica,0
Davi Lucca Duarte,676314194652,84 3199 4779,1
Joaquim Porto,Android 8.1.0,Designer de interiores,0
Miguel Aragão,Android 6.0,Tecnólogo em silvicultura,0
André Pires,3577731812174750,+55 51 9558 7709,1
Fernanda da Cruz,Android 2.3.4,Camelô,0
Marcos Vinicius Lopes,3574650307885345,(031) 6491 3243,1
Daniela Rodrigues,6011449006842598,0300 322 4147,1
Caio da Rocha,Android 3.0,Protético dentário,0
Camila Nunes,Android 5.0.2,Cientista,0
Benjamin Ferreira,3529325472195103,+55 (071) 4433-1478,1
Sra. Emanuelly Duarte,3560822757667178,(041) 7747 0661,1
Helena Azevedo,4557426748328,(051) 6445-9286,1
Sabrina Ramos,4720559809271893925,0500 637 9190,1
Sra. Amanda Peixoto,Android 2.3.7,Escultor,0
Dr. Lorenzo Cavalcanti,4239254040548909,(084) 0707-4449,1
Ana Sophia Fogaça,3539413246733108,+55 (081) 9820 6298,1
Gustavo Henrique Sales,4278775221985595,+55 71 2303 0135,1
Laura Aragão,340726280014266,(041) 4361-9806,1
Isabella Peixoto,Android 2.3.4,Escoteiro,0
Srta. Melissa da Luz,Android 1.1,Carpinteiro,0
Miguel Pereira,Android 4.4.2,Ortoptista,0
Isabella Rezende,Android 1.5,Psicólogo,0
Enzo Gabriel Castro,30064139236665,+55 84 3934-8807,1
Pietra Aragão,378902150435718,+55 81 9309 9108,1
Srta. Bianca Nunes,4007615368398749,51 5181 8608,1
Maysa Nogueira,Android 4.0.4,Tatuador,0
Ana Souza,Android 3.0,Ecólogo,0
Lucas Gabriel Ramos,3590936547174727,81 2010-6858,1
João Gabriel Moura,30155253228247,+55 21 4019 9064,1
Isadora Carvalho,Android 3.1,Luthier,0
Gabrielly Correia,Android 4.3,Guardador de veículos,0
Sr. Cauê da Rocha,4748624540907850,+55 (071) 9673-0724,1
Luigi Santos,Android 4.0,Nefrologista,0
Ryan Silveira,4200381547542252,+55 (021) 9720 7444,1
Manuela Azevedo,3542369027268893,11 7991-0666,1
Sr. Paulo Barbosa,676334767057,0500-484-2096,1
Dra. Camila Caldeira,501894443305,+55 11 6006 6778,1
Sr. Pedro Henrique Oliveira,675992032093,(031) 2059 9267,1
André Barros,180071435471738,(081) 5896-0680,1
Sr. Cauã Moraes,Android 8.1.0,Profissional de comércio exterior,0
Sofia Pires,Android 3.2.3,Recepcionista,0
Catarina Gomes,4524309741295977013,+55 41 7002 9348,1
Ana Vitória Silveira,6558839216879241,+55 (031) 3306 1860,1
Ana Júlia Barros,4428512791316359,+55 81 2038 4904,1
Pedro Lucas Moraes,6011793351394501,+55 71 7118-5857,1
Enrico Cavalcanti,4902908967077848063,+55 71 8023-2882,1
Lucca da Paz,3501135819812142,(081) 1634-7265,1
Pietra da Costa,Android 4.0.1,Gestor de recursos humanos,0
Bruna Ramos,4016181279510137,(041) 1029-4591,1
Marcela da Rosa,Android 4.4.2,Engenheiro de supply chain ou logística,0
Esther da Rocha,Android 2.3.2,Arrumadeira,0
Francisco Pereira,Android 3.2.6,Agrimensor,0
Ana Sophia Peixoto,Android 4.4.4,Quiropraxista,0
Sra. Maria Sophia Cardoso,Android 9,Bailarina,0
Maysa Aragão,561714953206,(061) 0100 7262,1
Dr. Vitor Barros,180040335574933,+55 61 9245-6460,1
Pedro Henrique Souza,38355819539465,+55 84 7990-6978,1
Natália Moraes,341195679356523,+55 (031) 6931 2960,1
Dra. Yasmin Moraes,4634929817936343,31 7411 2227,1
Isadora da Mota,Android 9,Leiteiro,0
Vinicius Cunha,379209326399003,0300 682 3964,1
Dra. Julia Almeida,30090545380904,+55 21 6776 8556,1
Dra. Bruna Oliveira,Android 2.3.3,Barman,0
Alana Monteiro,Android 5.1,Montador,0
Pedro Henrique da Conceição,348513782486941,0900 440 9640,1
Davi Lucas Oliveira,Android 2.2,Dentista,0
Davi Lucca Novaes,4337393336138,+55 (071) 0512 0096,1
Gabriel Nogueira,Android 4.2,Psiquiatra,0
Clara Viana,Android 3.2.6,Limpador de vidros,0
Luna Nascimento,2265671268446303,0800-600-5955,1
Dra. Laís da Cunha,3523063371367459,41 0689 6277,1
Sra. Natália da Costa,Android 2.3.7,Contábil,0
Sophia Gomes,Android 3.2.4,Letrista,0
Isis Ferreira,4036980961462929,21 2838 4150,1
Paulo Moreira,Android 4.0,Crítico,0
Ryan Ribeiro,Android 10,Profissional de rádio e tv,0
Igor Duarte,Android 4.3.1,Consultor de moda,0
Vitor Hugo Fogaça,Android 5.0,Urbanista,0
Theo Pinto,Android 2.3,Webmaster,0
Alice Ramos,370716887955626,+55 84 8551 5913,1
Pietro Novaes,4930235386707,61 7030 5017,1
Ana Julia Moraes,Android 1.6,Historiador,0
Bárbara Peixoto,Android 4.0.4,Naturólogo,0
Pietra Nascimento,Android 3.0,Engenheiro de controle e automação,0
Vitor Hugo Cavalcanti,Android 2.2.1,Arranjador musical,0
Guilherme Pinto,180034258921288,81 5211-9062,1
Leandro Barros,Android 2.3,Porteiro,0
Brenda Azevedo,Android 6.0,Transportador,0
Maria Sophia Fogaça,6011201687529147,(081) 5428-6706,1
Emanuel Ramos,30291150934270,0300-314-2953,1
Maysa Sales,Android 4.1.2,Odontologista legal,0
Dr. Benício Mendes,Android 4.0,Boxeador,0
Maria Vitória Pinto,Android 2.1,Técnico em segurança do trabalho,0
Vitor Gabriel Duarte,Android 3.2.4,Taxidermista/Embalsamador,0
Gabriel Vieira,4233056577754834169,0300 839 7175,1
Ana Beatriz Moura,38430848180118,(041) 7773-5119,1
Isadora Moraes,4197694784412574,0500-320-8663,1
Maria Fernanda Pereira,374807091312310,31 5669-5802,1
Dr. Gustavo Oliveira,Android 4.2,Radiooperador de vôo,0
Benjamin Ferreira,5574686997216404,0500 607 8020,1
Dr. Leonardo Nascimento,6574494812110466,(031) 3622-4706,1
Esther Oliveira,4238501605914947,0800 991 9918,1
Sofia Silveira,Android 11,Amolador de ferramentas,0
Vinicius Cardoso,Android 4.4.1,Personal stylist,0
Cauã Sales,Android 2.3.5,Seringueiro,0
João Gabriel Castro,Android 9,Capoeirista,0
Raul Teixeira,Android 6.0,Dublê,0
Samuel Peixoto,Android 5.0.1,Aeroviário,0
Dr. Guilherme Rodrigues,6517988314192658,(081) 5359-0318,1
André Pereira,Android 3.1,Engenheiro cartográfico,0
Vitor Gabriel Cardoso,Android 3.2.5,Meteorologista,0
Isabel da Rocha,3557647723803358,+55 (011) 6441 4837,1
