Coluna A,Coluna B,Coluna C,Classe
Maria Fernanda Barros,4550693752180175216,(021) 4784 0814,1
Ana Julia Fernandes,3591321056388688,(061) 5101 3760,1
Sr. Gustavo Henrique Freitas,6011626360401513,0500 336 1614,1
Vinicius Martins,3537887335124919,41 0589-6996,1
Agatha Cavalcanti,3546918531698569,+55 81 9929-1421,1
Stella da Cunha,30134112060711,(051) 2951 3514,1
Valentina Santos,213127841845450,0900-730-3797,1
Maria Alice Oliveira,30158300380615,+55 71 0033-1961,1
Vitor Porto,3553475154013295,+55 31 6184 9698,1
Caio Rezende,4371027776757151,0800 984 2342,1
Eloah Barros,4676990137816747,(021) 9743 4439,1
Miguel Ferreira,676286110785,0500 428 2824,1
Laís Cardoso,4376213139663274313,(061) 1384 8604,1
Cauê Melo,2716990624013655,84 3033-7525,1
Pedro Henrique Castro,375671581850281,31 2719 0351,1
Yasmin da Cruz,180096309948255,(041) 1399-3036,1
Luiz Otávio Correia,4402110868273809,81 9128 5715,1
Eloah Souza,213117318426264,+55 81 8278-5109,1
Marcela da Mota,6532589710283348,(031) 8379 9722,1
Beatriz das Neves,180043095828382,41 5768-6642,1
Sra. Fernanda Lopes,3501051465787233,+55 (081) 2566 6598,1
Olivia Sales,6011281998456917,+55 84 6532 4362,1
Sabrina Lima,4289698352892819,21 9373-4864,1
Nina Nascimento,213172427979695,+55 11 4118-7020,1
Dra. Marina Campos,36566964893166,61 4534-7145,1
André Lopes,3593867402292105,+55 71 4465 3236,1
Enzo Almeida,30548946108364,+55 (041) 7412 2903,1
Enzo Rodrigues,6011971017963915,11 0336 5687,1
Sophie Silva,30441418336905,+55 31 1535 2061,1
Guilherme Fogaça,30221358754527,(061) 0857 3976,1
Ana Beatriz Rodrigues,4321385975782623,+55 (081) 1994-7877,1
Dra. Emilly Lopes,38830023526185,+55 11 3674 6597,1
João Guilherme Rocha,6554306679829141,+55 41 3167 2965,1
Clarice Nogueira,30138835896848,(021) 1961 0580,1
Laís Mendes,4034167726480591886,(011) 5895-5062,1
Raul Dias,4678188446406665008,+55 (071) 9759-3924,1
Sr. João Pedro Correia,3510071511078162,(051) 0960 0247,1
Ana Clara Moreira,4476960263877,0900-527-5874,1
Miguel Rodrigues,3553647343755693,31 9443 4025,1
Enrico Dias,3508779718172158,84 4121-2702,1
Mariane Fogaça,345573873024756,+55 71 2769 5024,1
Lara Cardoso,180075162672129,(031) 7749 0147,1
Antônio Silveira,374599762337136,+55 (031) 5136-5201,1
Pedro Lucas Melo,2357762362928095,(071) 3877-5101,1
Carolina da Costa,2290043102487555,+55 51 7639 6421,1
Vitor Gabriel Barros,378667156348864,+55 (084) 8015 4282,1
Vitória Vieira,30111147642895,+55 21 7557-6592,1
Samuel Silveira,3576904911238872,+55 (084) 3412-4246,1
Murilo Nogueira,4689901450187389,+55 (031) 3083-8246,1
Sra. Brenda Nogueira,639066300174,+55 (081) 7616-0090,1
Alexandre Rezende,349384293573182,+55 71 6556 2976,1
Milena Gonçalves,3583395037885897,(071) 6231-0865,1
Eloah Rocha,2250415047540615,51 0924 7231,1
Bernardo Ribeiro,36784422262045,(041) 5645 6960,1
Vitória Souza,584806743301,51 8593 8530,1
Arthur Rocha,30301134288170,11 9514-3080,1
Melissa Cardoso,568999567411,+55 84 0308 1480,1
Brenda Cunha,4797103319161126674,+55 11 9404-2939,1
Catarina Correia,4395357370412149,(011) 0198 3812,1
Dr. Luigi Gonçalves,4082764765909,51 9277 3338,1
Benjamin Melo,4024724359258,21 4890-3238,1
Rafael da Cunha,4818714434985479,+55 (041) 0059 7694,1
Dra. Sarah Cunha,38754326615026,(041) 2958-8533,1
João Lucas Moura,6588089150768299,+55 84 7732 6166,1
Ana Carolina da Costa,3560693667574964,51 0695 9127,1
Thales Teixeira,5541672554503616,(021) 3748-4477,1
Amanda Gomes,4217641399673089881,+55 (081) 1138 8767,1
Arthur Aragão,30212775248680,(031) 5050 9254,1
Rafael Araújo,4575020217195200,(081) 2517-4795,1
Sra. Olivia Cardoso,379882400733105,+55 (041) 7076 7665,1
Carolina Cardoso,3502098431395699,0900-041-6718,1
Raul Cunha,5218945972729308,+55 (041) 0263 4400,1
Rafael Cardoso,4099364964682,41 8030 5979,1
Francisco Teixeira,060428206803,+55 41 0031-1294,1
Bárbara Cunha,38022953295003,+55 84 4912-5925,1
Lucca da Cunha,4952547024457892451,(011) 4419 0532,1
Bárbara Peixoto,2293133489645508,(051) 7258-5541,1
Marina Santos,567222443077,41 2048 6813,1
Srta. Isis da Mota,180048620777509,(084) 3047 9916,1
Dra. Bianca da Paz,3520898722337823,(021) 5838-0334,1
Sofia Nogueira,4739806849103536,81 7186 5791,1
Lucas Gonçalves,213115875642331,(021) 0766-6299,1
Caio Novaes,2558958255963119,(071) 7565 9459,1
Bernardo da Cruz,630435333095,0900 332 2671,1
Raul Vieira,4812053989319,+55 (011) 4790 8997,1
Helena Carvalho,180081400104461,(081) 4124 2919,1
André Gonçalves,6011186673193877,+55 (061) 3501 7369,1
Bárbara Freitas,3566064966144897,81 1109-3013,1
Vitor Hugo Almeida,6011077093248153,(031) 7335-3178,1
Dra. Elisa Viana,213105969643519,+55 (071) 9636-2451,1
Enrico Dias,6011309575686489,+55 84 7766 5416,1
João Lucas Lima,3591644690543743,+55 (011) 6741-1031,1
Isabel Sales,3586676129672708,31 2425 0209,1
