Coluna A,Coluna B,Coluna C,Classe
Yasmin Peixoto,Android 11,Naturólogo,0
Sra. Ana Lívia Nascimento,Android 7.0,Atendente,0
João Vitor Monteiro,Android 5.1.1,Escultor,0
Maria Fernanda das Neves,Android 1.6,Ecólogo,0
Maria Alice Monteiro,6011410271726098,+55 84 2448-3106,1
Dr. Heitor Caldeira,376512192323566,11 1694 6842,1
Luiz Gustavo Novaes,4319890174334682,(061) 1885 6876,1
Ana Luiza Cardoso,Android 8.1.0,Pediatra,0
Ana Carolina Gomes,Android 4.2.1,Armador,0
Levi Alves,30515132364770,+55 71 5415-4878,1
Kevin Jesus,Android 6.0.1,Esteticista,0
Mariana Moraes,Android 9,Auxiliar de reprografia,0
Emanuelly Fogaça,3528857210437224,(071) 1281-8054,1
Henrique Martins,4282154777437,+55 61 9443 6205,1
Sr. Thales Silva,Android 5.1.1,Penhorista,0
Miguel Almeida,Android 4.4.2,Camelô,0
Nicole Silveira,3545420776523835,(041) 6098 8618,1
Sofia Porto,3500839122600984,41 6324-2255,1
Yuri da Cruz,6011109105749389,71 2785-9842,1
Cauê Nogueira,5309965403657993,+55 81 9015 8744,1
Dr. Cauã Ramos,Android 4.3,Traumatologista,0
Sr. Henrique Costela,Android 4.3,Cartógrafo,0
Diego Porto,4811112027937444,+55 71 2170 3433,1
Juan Lima,Android 2.0,Veterinário,0
Pietro Novaes,Android 3.0,Geriatra,0
Camila Alves,Android 9,Retificador,0
Nicole Oliveira,Android 4.3.1,Embalador,0
Dr. Eduardo Rocha,4974539017071,0900-028-9276,1
Benjamin Silva,Android 5.0,Urologista,0
Sra. Lorena Costela,4648629513433090,84 1142 9892,1
Davi Luiz das Neves,2248029636440353,+55 (084) 3866-9507,1
Guilherme das Neves,Android 5.0.2,Embaixador,0
Melissa da Rosa,Android 5.0,Militar da Marinha,0
Caio da Luz,180051953182404,(071) 8816 3481,1
João Pedro da Rosa,375000563127452,0300 278 6704,1
Luiz Miguel Barbosa,Android 2.3.7,Endocrinologista,0
Sr. Luiz Gustavo Costa,4684569279604,(011) 2169 2992,1
Agatha Nunes,4081965258436144,+55 51 9768 8663,1
Antônio Cunha,Android 4.2.1,Ortodontista,0
Luiz Fernando da Rosa,Android 4.4.1,Designer de produto ou desenhista industrial,0
Srta. Mirella Rocha,Android 6.0,Gestor público,0
Yuri Oliveira,4223110976665305050,(041) 5091 9661,1
Luiz Miguel Ribeiro,4028380088331471,+55 11 9350-8848,1
André Silveira,501895667407,+55 71 1148-3145,1
Cauã Rezende,Android 2.3.5,Telegrafista,0
Gustavo Henrique Castro,4235764974193400702,+55 61 7463-4599,1
Alice Jesus,342384385941674,+55 (081) 5170 2901,1
Breno Alves,Android 4.1.2,Catador de material reciclável,0
Nathan Novaes,Android 2.3.2,Escrivão,0
Srta. Beatriz Ferreira,213111276485123,0500-350-1970,1
Lucas Caldeira,4887131240132012,+55 81 9131-4164,1
Sra. Ana Ramos,370862074545067,+55 61 9502-9203,1
Pietra Souza,Android 2.3,Engenheiro de iluminação,0
Luiz Gustavo Souza,4118219669426348996,+55 61 9663 5514,1
Dr. Erick Santos,Android 1.1,Produtor de audio visual,0
Ana Carolina Nunes,4120617579344786538,+55 81 3165 3689,1
Vitor Hugo Nogueira,213142835102040,31 2328 2598,1
Rodrigo da Cruz,Android 4.4.4,Caça-talentos/Olheiro,0
Theo Pires,Android 2.2.3,Técnico em tratamento de água,0
Marcos Vinicius Cardoso,Android 3.2.2,Funileiro,0
João Gabriel Alves,675909741018,+55 (071) 7296 4116,1
Dra. Olivia Barros,Android 11,Papiloscopista,0
Maysa Moreira,573730204761,11 5298-2168,1
Stella Rocha,Android 10,Engenheiro agrimensor,0
Cauã Moreira,3552741343287772,11 8636 0589,1
Lívia Lima,Android 2.0.1,Boxeador,0
Theo Viana,676268195796,+55 (061) 4096 0172,1
Ian Carvalho,Android 4.3.1,Engenheiro de alimentos,0
Sr. Yuri Silva,343412297456322,84 8043-4801,1
Matheus Campos,502015088607,(061) 6173 6147,1
Melissa Mendes,Android 4.0.1,Veterinário,0
Emanuella da Rocha,Android 4.4.1,Médico nuclear,0
Ana Ribeiro,6011099978437420,+55 21 9764-6531,1
Dr. Paulo Souza,4106154049051,+55 (031) 6308-3444,1
Cauã Costela,Android 2.3.2,Ciclista,0
Olivia Carvalho,347218686127762,+55 (071) 0741 3746,1
Luiz Gustavo Azevedo,Android 4.1.1,Ferramenteiro,0
Maria Fernanda Sales,4507763799957454,+55 84 5855-6189,1
Bárbara Fogaça,2373301893838240,+55 61 8030 1032,1
Erick Ramos,347672693347153,(041) 0811 3121,1
Agatha da Costa,Android 2.0.1,Dedetizador,0
Marina da Rosa,Android 7.1.1,Educador,0
Matheus Souza,Android 2.3.3,Analista de sistemas,0
Mirella Araújo,3551783911445169,+55 (081) 7901 2250,1
Vinicius Cavalcanti,3520427698682721,+55 21 2960-2577,1
Srta. Mariane Monteiro,Android 2.3.6,Navegador,0
Dr. Matheus Rodrigues,4246357825578719,+55 71 5031-1875,1
Erick Rezende,676141576816,61 4856-0629,1
Laís Viana,Android 3.2.6,Vistoriador de sinistros,0
Dra. Mariana Costela,Android 3.2,Acompanhante,0
Dr. Murilo da Luz,Android 2.3,Ufólogo,0
Dr. Davi Lucas Rocha,Android 11,Contabilista,0
Alice Silveira,4240866530586813807,+55 84 5066-1940,1
Vitor Gonçalves,3515078913302152,+55 81 5252-2806,1
Kamilly Moura,Android 3.2.1,Chargista,0
João Pedro Moreira,180049343144555,+55 (071) 8143 8017,1
Ana Clara Alves,2226391903165170,0300 851 2328,1
Miguel Alves,675919537265,(071) 1374 1553,1
Luiz Otávio Castro,Android 3.2.4,Astrólogo,0
Elisa Viana,Android 4.4.1,Ortesista,0
Luna Monteiro,4517208532655518,(011) 1969-3702,1
Isabel da Conceição,2224758509319215,(081) 5136-3403,1
Maria Cecília Nogueira,3556934952521880,(071) 1379-6365,1
Ana Julia Mendes,Android 11,Revisor,0
Eduardo Fogaça,4029448099569,+55 61 7820-9444,1
Lorena Rocha,4792646840522845,(031) 8602-5367,1
Manuela Caldeira,Android 7.1.2,Manicure,0
Levi Oliveira,Android 10,Nefrologista,0
Melissa Barbosa,Android 4.1.2,Administrador de redes,0
Sra. Letícia Barbosa,5381330400882501,+55 84 3249-6155,1
Emilly da Cruz,Android 2.3.5,Lenhador,0
Sophie da Rocha,2239119326582654,11 8899 7204,1
Sr. Thales Silva,Android 4.0.3,Enólogo,0
Lorenzo Nascimento,6011367260729337,+55 (011) 8016 8969,1
Ana Vitória Moura,Android 4.0.3,Árbitro e mediador,0
Sr. Calebe da Mata,Android 2.3.1,Atleta de tiro com arco,0
Catarina Silva,3549517232997770,+55 (061) 0536 6155,1
Joana Pereira,Android 2.2.1,Encarregado de manutenção predial,0
Eloah Moraes,5554530650710705,+55 (041) 9567 7075,1
Dr. Lucas Correia,4767056960331483,+55 (061) 5938-4729,1
Srta. Ana Julia Gomes,6584892268489532,+55 (071) 4624 4541,1
Júlia Rocha,6011855858142020,(041) 1214-0336,1
Alexandre Alves,4268287026933400,11 5002 0820,1
Ana Júlia da Cunha,3537968697805236,84 1530-6646,1
Vitor Pereira,Android 4.4.3,Hematologista,0
Sabrina Rocha,Android 4.3,Funileiro,0
Sr. Vitor Hugo Correia,Android 1.0,Soldado,0
Isadora Cunha,Android 4.2.2,Técnico em tratamento de água,0
Joana Silveira,180024785071624,(051) 4615-3185,1
Antônio Araújo,Android 4.0.1,Policial federal,0
Leandro da Luz,372485889144575,31 4121 4230,1
Yuri Farias,Android 2.3.2,Alergologista,0
Ana Pires,Android 3.0,Bóia-fria,0
Emanuel Farias,Android 4.4.1,Vendedor,0
Paulo Mendes,340162009872596,71 1210 7955,1
Sr. Luiz Henrique Azevedo,2247416065539139,84 1303-2875,1
Benício da Rocha,Android 1.6,Coronel,0
Raul Melo,Android 2.3.5,Biblioteconomista,0
Luna Campos,213183218716352,84 6224 4361,1
Gabriela Mendes,5484104258294176,+55 (084) 0899 8106,1
Sophie Martins,Android 3.2.2,Necromaquiador,0
Esther Cardoso,639019372312,0500 196 7661,1
Srta. Letícia das Neves,Android 3.2.2,Judoca,0
Thomas Vieira,Android 2.0,Fotógrafo,0
Kaique Costa,Android 2.2.1,Tradutor,0
Sr. Igor Fogaça,Android 2.3.5,Navegador,0
Heitor Moreira,Android 2.2.1,Jornaleiro,0
Vinicius Almeida,4676276431304204,+55 (011) 1816-7602,1
Thomas Cardoso,Android 2.0,Técnico tributarista,0
Yago Jesus,379385679014066,+55 (011) 9332-2038,1
Anthony Lima,Android 4.0.4,Viveirista,0
Dra. Kamilly Moura,4862286321424743,+55 (081) 3885 7788,1
Erick Barros,Android 5.1.1,Técnico em segurança do trabalho,0
Cauã Jesus,Android 2.2.3,Tecnólogo em automação industrial,0
Luiz Henrique da Cunha,213110388084337,+55 (081) 9031 3017,1
Maria Eduarda Gomes,4546038209274,(011) 1298 9661,1
Enzo Gabriel Cavalcanti,Android 5.0.2,Dogueiro,0
Isabel da Cruz,676211267551,41 5661-8682,1
Catarina Moraes,4879622712886,+55 (084) 8416 8186,1
Ana Vitória Melo,Android 4.3,Geradorista,0
Amanda da Mata,377611421994707,0500 776 2356,1
Maria Eduarda Mendes,Android 4.0.3,Lutador de taekwondo,0
Ana Carolina Rezende,3555951592556945,+55 (081) 9933 5685,1
Maria Luiza Porto,Android 6.0,Corredor de atletismo,0
Isabelly Lima,Android 3.2.3,Lutador de kung fu,0
Srta. Lara Barros,Android 4.3,Instalador de painéis,0
Rafael Pereira,060493407989,+55 71 0283 2957,1
João Felipe Barbosa,Android 4.2.1,Presidente da República,0
Rafaela Santos,378504860480255,+55 (021) 4466-4129,1
Sra. Sabrina Carvalho,Android 5.0,Técnico em segurança do trabalho,0
