Coluna A,Coluna B,Coluna C,Classe
Caio Sales,4338960286895990,61 0186 3082,1
Sra. Clara Silveira,3575708029479091,+55 (081) 8085-4262,1
Diogo Cunha,2250213920610567,21 5979-7957,1
Pietro Pereira,5473615923423406,(084) 7681-8755,1
Maria Gomes,Android 5.0.1,Chargista,0
Luiz Felipe Oliveira,5259000372503612,+55 41 1167-4979,1
Dra. Ana Clara Nascimento,Android 7.1,Assessor de imprensa,0
Bryan Dias,Android 4.0.3,Juiz de direito,0
Davi Lucas Novaes,630434278374,+55 (041) 7128 5982,1
Dr. João Gabriel da Mata,Android 4.2.2,Profissional de relacionamento com investidores RI,0
Matheus Oliveira,344687004083670,0500 681 5059,1
Nicolas Caldeira,Android 1.5,Redator,0
Daniel Jesus,4327839540493714,0800-175-4283,1
Sr. Pedro Miguel Mendes,Android 1.1,Aviador,0
Cauê Castro,4947136552864514,(071) 1295-0902,1
Emanuel Silva,4142464890633244842,+55 21 6859 5327,1
Maria Luiza da Mata,30516650270555,81 8578-2279,1
Renan Porto,Android 7.1.1,Lixeiro/Coletor de lixo,0
Emilly Melo,Android 6.0,Cientista da informação e documentação,0
Maysa Freitas,Android 4.4,Coloproctologista,0
Sra. Lorena Jesus,Android 9,Engenheiro de som,0
Ana Sophia Cardoso,3573260791751689,0300-374-5489,1
Matheus Teixeira,Android 2.3.2,Militar da Marinha,0
Davi Lucas Almeida,Android 1.1,Gestor ambiental,0
Maysa Cardoso,Android 4.4.4,Dublê,0
Emanuel Peixoto,Android 1.0,Sacoleira,0
Dr. Enrico Pires,Android 7.0,Contábil,0
Sra. Carolina Fernandes,6011715541673015,61 0907 0214,1
Olivia Castro,Android 2.2.1,Subprefeito,0
Srta. Laura Teixeira,Android 5.0,Torneiro mecânico,0
Sr. Lucca Fernandes,3534104852695831,+55 81 7131 5482,1
Sarah da Conceição,4489037346456266,61 5631-0126,1
Antônio Duarte,Android 4.0,Cerimonialista,0
Renan Nunes,Android 2.2,Guarda ou policial rodoviário,0
Bruna Freitas,36880133192289,+55 21 8940 0121,1
João Pedro Viana,30443148911114,+55 11 9581 1131,1
Sarah Gonçalves,6566875433338108,+55 (084) 6289 0453,1
Dra. Bárbara Nascimento,4100617429369103,+55 71 0957-5544,1
Lavínia Nunes,Android 7.1.1,Matemático,0
Srta. Sophia das Neves,Android 10,Ajudante de produção,0
Isis Porto,Android 11,Profissional de logística,0
Mirella Ferreira,Android 5.0.1,Babysitter,0
Sabrina Novaes,Android 6.0,Carnavalesco,0
Ana Beatriz Silveira,4394635348769,+55 41 8233-3770,1
Maria Luiza Barros,Android 4.1.2,Dublador,0
Davi Lucas Moura,Android 5.0,Costureira,0
Dra. Lara Lopes,Android 2.3.7,Contabilista,0
Lucca Aragão,4735539856830352,+55 81 2223 4381,1
Luiz Otávio Moura,Android 2.3.1,Técnico em edificações,0
Lucas Gabriel Barbosa,Android 8.1.0,Programador,0
Sra. Emilly Freitas,6554068173910427,+55 (084) 8837-1834,1
Sr. Kevin Barros,Android 1.6,Geradorista,0
Leandro Correia,Android 7.1.1,Esgrimista,0
Dra. Rebeca Farias,3567428341939546,+55 11 0278-0221,1
Sr. Lorenzo da Cruz,Android 2.3.1,Guitarrista,0
Laís Peixoto,3564677823172074,+55 (031) 4318-3716,1
Gabrielly Fogaça,3576090450264121,+55 41 4588 8910,1
Igor Barros,5150906328905141,+55 31 0113-5241,1
Samuel Nunes,3542874491882251,+55 81 6785 1283,1
Paulo Sales,501869391380,+55 (021) 1769-0823,1
