Dado A,Dado B,Dado C,tipo do dado
Vitória Cardoso,4224069227327609557,+55 (071) 6879 2065,1
Henrique Moreira,3570729309397618,+55 (084) 5386 0382,1
Maria Eduarda da Luz,Android 5.0.2,Coveiro/Sepultador,0
Emanuel Martins,Android 2.2.3,Técnico em segurança do trabalho,0
Ryan Ramos,Android 5.0,Repositor,0
Dr. João Vitor Caldeira,Android 2.2.3,Endocrinologista,0
Erick da Paz,3515432300182877,0800 661 9109,1
Rebeca Farias,Android 4.4.4,Forneiro,0
Leandro Melo,Android 4.4.2,Designer de jóia,0
Gabriel Castro,180026846613633,+55 81 8314 4823,1
Eloah da Mota,Android 4.4.2,Designer gráfico,0
Luiz Henrique Moreira,5242895942523887,(084) 7613 9060,1
Elisa Ribeiro,4549162064979618,+55 (084) 5898 2282,1
Marcos Vinicius Oliveira,3519340727519637,+55 (021) 5744-6287,1
Ian Azevedo,2661371834386485,+55 (061) 5739-9272,1
Sr. Rodrigo Martins,4853344237649837,(071) 8556 6933,1
Thales Cardoso,676231546307,+55 (071) 5681-8808,1
Alexia Nunes,Android 4.4.3,Escrivão,0
Erick Cunha,Android 4.2,Neurocirurgião,0
Isaac Duarte,5163244108750155,61 7847 8057,1
Davi Lucas Rocha,Android 8.1.0,Soldador,0
Sophia Almeida,4615608804875089395,(084) 3225-5953,1
Dra. Stephany Santos,3550424326360948,+55 61 9682-8666,1
André Nogueira,4114712262941528606,+55 (031) 2507-5864,1
Sr. Juan Cunha,213161324833451,+55 51 0962 1225,1
Augusto da Mata,Android 3.1,Escriturário,0
Dra. Stephany Barbosa,Android 4.2,Clínico geral,0
Guilherme Ribeiro,Android 3.0,Sushiman,0
Felipe Aragão,3534129604320685,+55 71 0806 4233,1
Pedro Lucas Oliveira,213114307025165,+55 31 3883 8679,1
Elisa da Rocha,Android 9,Moldador,0
Sr. Calebe Barros,Android 4.0.4,Anestesiologista,0
Pietra da Luz,3551543089207688,+55 61 7097-8430,1
Dr. Antônio Ramos,341924218302924,0500-241-7768,1
Juan Nunes,581517786413,+55 21 2421 5004,1
Mariane Alves,Android 5.1.1,Separador,0
Maitê Nogueira,Android 2.3.5,Engenheiro elétrico,0
Natália Dias,Android 4.0.1,Agente de combate à endemias,0
Bianca Almeida,Android 2.0.1,Costureira,0
Carolina da Costa,4041697086751092,61 5307 7239,1
Sr. Arthur da Costa,4570545224929659,+55 71 8961 8868,1
Davi Lucas da Luz,Android 4.0.4,Auxiliar de serviços gerais,0
Sra. Kamilly Almeida,4797297904901718,(041) 0897 4293,1
Bruna Vieira,4870461499393745,31 6297 8755,1
Luiz Felipe Costela,3592369154630633,+55 (084) 7581-4176,1
Esther Correia,Android 2.3,Baterista,0
Noah Silva,Android 8.1.0,Empregado doméstico,0
Maysa Cavalcanti,Android 3.2.6,Capelão,0
