Dado A,Dado B,Dado C,tipo do dado
Sarah da Mata,3584369065686187,0800-906-6806,1
Ana Beatriz Carvalho,676354164227,+55 (021) 6870-6573,1
Breno Silva,349682343363045,(061) 6283-3594,1
Lorena Ferreira,4284992195388489373,(051) 5655 9927,1
Luiz Henrique Monteiro,347154367842330,+55 51 3008 2810,1
Emanuel Ribeiro,569262754348,31 3468 2084,1
Emanuella Ribeiro,3502553552593100,+55 84 5758 0482,1
João Gabriel da Rosa,3549127763220814,(021) 0523-9754,1
Gustavo Gonçalves,213164135022074,+55 71 1178-0325,1
Ana Júlia Araújo,2700289497399905,+55 71 5771-0736,1
Rodrigo Fogaça,6011228189437149,81 0345-5880,1
Yago Melo,4189250077457345,21 0956-0534,1
Srta. Helena Moura,3561215783720997,21 0201 7415,1
Paulo Peixoto,349240121216586,41 2280-6364,1
Theo Porto,4466082194367295418,+55 71 8668-6807,1
Maria Luiza Cavalcanti,4670608192642628,(021) 0703 2374,1
Ana Carolina Rocha,6569945933357283,84 3873-5997,1
João Vitor Mendes,6565415314170915,(041) 9157-8401,1
Matheus Freitas,213154931041071,+55 (084) 3127 9775,1
Evelyn Fogaça,630443613603,+55 21 4719-2111,1
Alice Viana,4552187447882109188,(041) 0936-2880,1
Noah Dias,4185446259915290,0300 644 6057,1
Maysa Silveira,4422726041373004679,+55 11 3045 9029,1
Davi Lucas Jesus,3597104058743504,(081) 1219 5755,1
Sr. Arthur Monteiro,6533530347208596,+55 81 6941-7545,1
Luiza Teixeira,180097450190390,+55 51 9353 3659,1
Bárbara Nascimento,3511402794175608,0800-008-6691,1
Dra. Bruna da Costa,4070059342229,+55 41 5132-8106,1
Davi Luiz Correia,4087439247433096261,+55 (061) 6829-5751,1
Rebeca Moura,4751101636749516,+55 21 3038-6424,1
Sra. Maria Julia Moreira,4928985725139395486,0500-690-1517,1
Marcela Moraes,4251647883928304321,(071) 6959 8768,1
Milena Nunes,6570418309267012,0500 564 6595,1
Camila Moreira,4482218773596629,71 1164 8113,1
Vitória da Conceição,4525457867298896822,0800 018 4948,1
João Vitor Souza,3537317647970841,+55 (051) 7490 7810,1
Alícia da Conceição,2251694887430983,(061) 4679-4302,1
Sofia Gomes,347502759833228,+55 (061) 3929 6946,1
Caio Correia,4315908356608196,(011) 2703-1075,1
Luiz Miguel Pereira,2418541739099443,61 9517-5583,1
Levi Pires,3577881288597735,+55 (084) 4690 4430,1
Levi Rezende,4913398584722,31 5813-7663,1
Pedro Viana,3538121750075607,+55 (084) 5343 0041,1
Levi Azevedo,347530227543913,(071) 2920 1408,1
Ana Vitória Rezende,4713304337052,+55 (071) 4180-7324,1
Davi Lucca Duarte,2604054638215114,+55 (051) 3138-0665,1
Sra. Evelyn Gomes,374434905382775,+55 84 3483-7303,1
Sr. Enrico da Cunha,4940005494788185901,21 3835-5501,1
Ana Julia Ferreira,4105362993047025508,81 1222 4519,1
Davi Campos,6011371058240960,+55 31 9958-0332,1
Arthur Barbosa,5355672118264312,+55 (081) 9510 9742,1
Raquel Caldeira,341553760159273,41 7852 2603,1
Dra. Ana Júlia Nogueira,585515191419,+55 (071) 7801 3749,1
Amanda Silva,4624258520606049,+55 (071) 0625-4214,1
Ryan Jesus,30165039116392,61 3861-6121,1
Pedro Henrique Vieira,4783440864584988566,(031) 4998-7024,1
Isabella Nogueira,30441838834331,+55 51 5887 7668,1
Júlia Rezende,345007431740892,(081) 9509-2407,1
Marcela Nascimento,3580603210251966,+55 (081) 5334-0617,1
Maitê da Mota,4011552725941123,(061) 7677 3383,1
Eloah Rezende,378441764004131,+55 71 5396 4098,1
Fernando Alves,4389802768537922,(051) 9366 6620,1
Vicente Gomes,4480605062634255,+55 (051) 4785 0726,1
Valentina Aragão,3581908864251900,+55 11 3415 5325,1
João Pedro Souza,060440693970,71 8314 7221,1
Lorena Araújo,502049444230,+55 84 8188 0264,1
Ana Júlia Gonçalves,3510456437853212,0900-314-5412,1
Bruna Gonçalves,180011136501144,21 0992 4426,1
Dr. Rafael Ribeiro,573139165829,(041) 2126 6964,1
Caio Lima,3588543317328857,(041) 5954 0034,1
Maria Vitória da Cunha,3563910647067001,+55 11 7930-0556,1
Calebe Santos,4564385494789881,+55 (041) 9301 7165,1
Nathan Mendes,4561638142775923,11 2438 4141,1
Maria Cecília Cavalcanti,3503661957170579,+55 (021) 4306 3310,1
Dra. Caroline da Luz,343868021300914,+55 51 8400 4375,1
Agatha Lopes,4877838626304,(011) 1298-4832,1
Ana Vitória Sales,4829291155016,(031) 3852 0209,1
Nicole da Cruz,342575396935171,31 5239-0741,1
Luiz Otávio Gomes,30123461424313,(011) 5796 4537,1
Stella da Mata,2674761832496598,+55 (041) 7303 8476,1
Miguel Pereira,630419838036,(081) 2324 1136,1
Guilherme Cardoso,4927362851640645,+55 (051) 2564-0918,1
Miguel Mendes,3584161059200079,41 1478 7508,1
Maysa Cavalcanti,6588192443741220,21 8992 7260,1
Helena Silva,4089371939801,(011) 3555 8308,1
Luiza Araújo,3594607584093361,61 1246 0768,1
Lara Pinto,6581699486963369,(021) 6133 5799,1
Ana Lívia Fernandes,373299602737857,+55 (021) 8594-1274,1
Bernardo Barros,4718593871265,(011) 7659-6032,1
Dra. Ana Laura Martins,6583706181691365,84 0687-4113,1
Cauê da Cruz,30131993837985,+55 (041) 4419-9099,1
Pedro Miguel Fernandes,3548417058938530,+55 31 6216-7959,1
Srta. Mirella Vieira,3543575534031363,+55 21 2411 4579,1
Arthur Moreira,4990162162386223,(031) 1707-8523,1
Pedro Henrique Mendes,630493692275,(061) 1917 8088,1
Maria Luiza Fernandes,3528736899936658,(021) 4862-0874,1
Marcos Vinicius Silva,3509347283008659,+55 81 9357-0928,1
Julia Azevedo,6011848168321871,+55 (061) 4760 6914,1
Benjamin Silveira,4623671913163091363,+55 81 8707-4385,1
Sr. Heitor Santos,180071562484439,+55 (041) 7279-0070,1
Maria Luiza Rocha,6011303087418358,21 8557 9829,1
Beatriz Alves,180062084913310,81 1479-4042,1
Sr. Alexandre Teixeira,3524416444062912,(021) 2157-2185,1
Sr. Breno Almeida,4761332005555,31 3990-1105,1
Lorenzo Ribeiro,4916309442179,+55 61 1442-7384,1
Luiza Campos,630497680755,+55 (081) 6432 6819,1
Evelyn Cavalcanti,4078484111419847,+55 41 8525-1499,1
Luiz Felipe Nascimento,4706813937345135410,(081) 3752 8332,1
Alexandre Cunha,4538501587457995,+55 21 2095-9420,1
Rebeca Moura,38813258401506,0900 479 9666,1
Maria Cecília Rezende,6568203131436082,51 6240 9924,1
Emanuel da Cunha,4922961495653,+55 (051) 2726 3124,1
Dra. Eduarda Rocha,4740063981192,(011) 3859 1597,1
João Pedro Moreira,4354684739458326,+55 (051) 9271-0945,1
Maria Luiza da Rocha,213158449700722,31 5880 5205,1
Ana Cardoso,36603594574484,+55 (061) 5804-3569,1
Maysa Moraes,180003032742229,+55 61 8943 6442,1
Larissa da Cruz,5206372910538630,(051) 9206 5845,1
Esther Ferreira,4062693369730675,21 5822-1877,1
Maria Costela,3538267313083693,0300-974-1501,1
Leandro da Paz,3528664606771087,31 4186 4959,1
Erick Alves,6554712143049259,+55 (031) 5452-5812,1
Dra. Luana Peixoto,4167399847926539,11 8410-5370,1
Felipe da Luz,584580474008,+55 31 7102 2391,1
Daniel Ferreira,2715236157018930,(031) 6268 9504,1
Ana Lívia Cavalcanti,4435518500489685766,+55 84 1338-8945,1
Sr. Kevin Lima,4901631126527065788,+55 71 9669-3258,1
Dra. Kamilly Pereira,4896616375482462,+55 41 6960 5880,1
Dr. Lucca Castro,4690828875579,+55 84 9372 1658,1
Ian Souza,4279823244302,(021) 9344-6134,1
Carolina Martins,30336051869339,(051) 4945 9879,1
Emanuella Lima,4813304532523839,0500-050-5775,1
Ana Vitória Costa,3519027041362162,41 1534 2743,1
João Rocha,36083119123309,11 9684 8104,1
Joana Campos,2712584076615721,0900-077-7529,1
Alice Barros,502017891669,+55 51 0555 6505,1
Gustavo Rocha,630474160714,+55 (031) 1504 0832,1
Sabrina Porto,4158025281644145,(011) 2550-0027,1
Eduarda da Cruz,3538264213663336,(041) 7091-8765,1
João Vitor Cardoso,3503067733605492,(041) 3159 1078,1
Nina Martins,6011179695145702,+55 81 4666 5416,1
Alexia Sales,213170419534197,+55 21 5954-2524,1
Dr. Cauê Dias,5144226305370295,+55 (041) 9326-8505,1
Rafaela Vieira,3577524852276845,(021) 6147-0924,1
Srta. Milena Rocha,2256409556484731,(084) 5747-8920,1
Srta. Juliana Gonçalves,340731687160837,+55 41 8112-5515,1
Nathan Alves,372724558954280,+55 31 1690-9053,1
Pedro Lucas Souza,213110219389046,31 7313 8717,1
Pedro Gomes,3556268235135758,+55 (051) 8105-7933,1
Francisco Nunes,3582331604316678,+55 (071) 3376-4847,1
Giovanna Freitas,3512842521533117,+55 21 5188-6495,1
Thales Correia,4934281964424856,84 3390-1189,1
Cauã Cunha,6011886550795583,71 0573 4404,1
Gabriel Rodrigues,375071143619086,84 0266-4126,1
Alexia Silva,213108787481344,(021) 4363-6949,1
Dra. Júlia Nunes,180019913090850,+55 61 4404 8174,1
Miguel Sales,4191175439691936449,+55 84 8508 7501,1
Rebeca Ribeiro,4766958421610275,84 9738 2982,1
Eduardo Costa,3505964802659517,21 0029 2764,1
Carlos Eduardo Porto,574184761033,+55 41 3226 2090,1
Ana Carolina Campos,6011986475281998,+55 (084) 9230 8281,1
Emilly Pires,3593588870981314,+55 11 6779 4175,1
João Rocha,2707327940954216,61 0009-2943,1
Pedro Henrique Nunes,3564170704857161,71 1440-8040,1
Luna da Cunha,2271913905069177,(041) 2431 8948,1
Mariane da Costa,6586659263502587,(031) 6541-2299,1
Marcelo Teixeira,374855783263168,84 5731 9511,1
Bruno Dias,675912864617,(031) 4959 8507,1
Luana Pinto,342017523464338,+55 81 2231-5835,1
