Dado A,Dado B,Dado C,tipo do dado
Lorenzo Costa,Android 2.3.2,Modelo,0
Laura Barbosa,Android 2.2.1,Urologista,0
João Pedro Gomes,Android 5.0.2,Marinheiro,0
Sr. João Miguel da Cunha,2526429906993847,+55 31 6480 5379,1
Luna Nogueira,3593828677981038,71 4795-1365,1
Lucas Gabriel Cunha,Android 7.1,Perfumista,0
Murilo Costa,Android 7.0,Editor de mesa de corte,0
Sr. Thiago Lima,Android 2.1,Professor,0
Isabelly Cardoso,Android 3.2.4,Produtor fonográfico,0
Rodrigo Vieira,Android 7.1,Produtor de audio visual,0
Vitória da Cunha,Android 4.4.3,Cinematográfo,0
Heitor Oliveira,Android 5.1,Vigilante noturno/diurno,0
Lara Peixoto,Android 3.2.2,Homeopata,0
Heitor Silveira,Android 7.1.1,Co-piloto,0
Ana Laura Jesus,Android 2.3,Engenheiro de aquicultura,0
Luiz Henrique da Paz,Android 5.0,Urbanista,0
Vicente Vieira,213182141818152,84 8142 0630,1
Sabrina Fogaça,Android 3.2,Defensor Público,0
Sr. João Pedro Gomes,4539970170429457815,81 8959-9658,1
Bryan Caldeira,345533390716912,+55 61 8727 8916,1
Cauê Jesus,Android 7.1.2,Engenheiro de horticultura,0
Dr. Anthony Duarte,Android 5.0,Lutador de luta livre,0
Samuel Pinto,Android 5.1.1,Patinador,0
Mirella da Mota,4746732257967484358,(051) 1924-9537,1
Rafaela da Mota,Android 6.0,Técnico de gesso,0
Pietro Azevedo,Android 2.0.1,Conferente de recebimento,0
Kevin da Paz,6011887810457428,+55 11 0426-5970,1
Vitor Hugo Nunes,4734909182817641556,+55 21 9536 5636,1
Alícia da Costa,Android 2.3,Porteiro,0
Eloah Barbosa,Android 2.2.3,Senador,0
Sra. Sarah da Luz,Android 3.2.5,Tecnólogo em produção de bebidas,0
João Guilherme da Paz,374553582496861,61 9384 6022,1
Gabriel Aragão,4084335649798437,84 0334 8716,1
João Pedro Nogueira,Android 4.0.3,Tecnólogo em silvicultura,0
Stella Dias,Android 2.3.4,Lutador de karatê,0
Ana Carolina Melo,Android 2.3.7,Chefe de cozinha,0
Ana Luiza Costa,Android 2.3.5,Fonoaudiólogo,0
Danilo Martins,Android 1.1,Barbeiro,0
Alexandre Nascimento,180088111157340,51 6946 9165,1
Ana Lima,Android 4.0.4,Lixeiro/Coletor de lixo,0
Pedro Miguel Rezende,Android 5.0.1,Toxicologista,0
Guilherme Costa,Android 2.3.3,Pescador,0
Dr. Matheus Barbosa,Android 4.4.1,Empregado doméstico,0
Maria Clara Porto,Android 7.0,Bedel,0
Emanuelly Fogaça,Android 8.1.0,Hostess,0
Alana Duarte,6566056422747134,+55 41 1485-5064,1
Lucca Novaes,Android 3.0,Produtor de multimídia,0
Theo da Paz,2545526723005130,+55 81 3844 4939,1
Eloah Moreira,4679277676697887,41 6352-7486,1
Dr. João Gabriel Costela,4244181141734210373,+55 51 2653 7298,1
Francisco Santos,370728177404330,+55 (084) 8377-0741,1
Francisco Cardoso,30263168773321,+55 (061) 0512-3578,1
Dra. Lavínia Monteiro,676211715500,+55 84 5322 6640,1
Dr. Enrico Cardoso,347825750812325,+55 51 8439 4057,1
Benício Correia,3582546820435941,+55 51 5088 1338,1
Sra. Giovanna Pinto,676128108229,81 5591 3913,1
Isabella Mendes,4031807870557645,+55 61 7919 3367,1
Maria Fernanda Costela,4146142015962,41 7521-1945,1
Renan da Cunha,3501504780716642,0800 856 8045,1
Gabriela Costa,Android 2.0.1,Mestre cervejeiro,0
Carlos Eduardo da Paz,4477523441201931151,(021) 8012 4460,1
Pietro Silveira,Android 4.0.3,Almoxarife,0
Manuela Caldeira,30136107528362,0500-597-8151,1
Levi da Rosa,Android 10,Radiooperador de vôo,0
Raquel Melo,3522704315301853,+55 (081) 4564 7431,1
Sr. Igor Gomes,Android 5.1.1,Acupunturista,0
Luiza Caldeira,Android 3.2.2,Triatleta,0
Sofia Pereira,Android 4.2.2,Engenheiro mecatrônico,0
Ana Beatriz Freitas,Android 2.2.1,Fisiculturista,0
Alana Moraes,Android 4.4,Designer de produto ou desenhista industrial,0
Bianca Sales,676282847968,+55 (081) 7735 2095,1
Augusto Rodrigues,Android 4.1.2,Técnico em arquivo,0
Nina Fernandes,Android 4.0,Leiloeiro,0
Mariana Freitas,2510530390248156,(021) 8374 6316,1
Maria Vitória Nunes,Android 4.1.1,Terapeuta ocupacional,0
Daniela Melo,2557992805859627,+55 31 8853 5742,1
Srta. Heloísa Pereira,3593042740609085,(031) 7472 5001,1
Raquel Cavalcanti,340131297448070,+55 (041) 3092-9120,1
Maria Julia Ferreira,3556502350084973,11 0550 1285,1
Leandro Farias,Android 5.1,Governador,0
Yago Silva,Android 3.2.1,Coronel,0
Enrico da Costa,Android 2.3.3,Geólogo,0
Enzo Moreira,Android 4.4.1,Meeiro,0
Helena Nunes,3509635028736661,(021) 5316 1799,1
Leandro da Rocha,2294957924854773,+55 51 1211 0296,1
Stella da Conceição,349467053001906,+55 (061) 1934 5542,1
Luna Barbosa,Android 2.3.6,Militar do Exército,0
Esther da Mata,Android 3.2.2,Motofrete,0
Kamilly Lopes,4252545769716,+55 81 9640 5686,1
Melissa Gonçalves,4415903938027014,(031) 4498 8450,1
Vitor Martins,503801381602,+55 84 1678 4833,1
Sra. Agatha da Rosa,4091294987248,(041) 1447 2702,1
Sophie Azevedo,6598198859771930,84 6323 8423,1
Ana Carolina Aragão,180025390989159,+55 (011) 8217-2741,1
Olivia Dias,Android 2.2.3,Profissional de hotelaria,0
Maitê Fogaça,Android 3.2.3,Carteiro,0
Sra. Emanuella Viana,Android 3.2.4,Afiador de ferramentas,0
Srta. Beatriz Martins,30171692215539,(071) 2663 2778,1
Lavínia Oliveira,3580910791667803,+55 (081) 5723-9654,1
Sr. Thales Fernandes,3513388970838853,(021) 9440 6564,1
Sr. Luiz Henrique Aragão,4608211951094691081,51 4025 5004,1
Davi Moreira,3578922254731434,+55 (011) 7366-2180,1
Nicole Campos,3524572564536620,0900 599 4197,1
Nicole Dias,Android 2.3,Obstetra,0
João Mendes,Android 2.3.4,Oculista,0
Leandro Melo,4728339580378789,(071) 0247 2981,1
Emilly Farias,4300108764868349467,+55 21 1667 1366,1
Heitor Freitas,4928345176055523,+55 31 0577-8213,1
Cecília Pereira,Android 5.0.2,Militar da Marinha,0
Levi Duarte,Android 4.1.2,Cantor,0
Leandro Ferreira,4091362337466,+55 81 5703-1952,1
Nicole Gonçalves,Android 5.1.1,Mecânico de vôo,0
Maria Clara Farias,4120292116551629606,+55 61 6187 3586,1
Benício Rezende,Android 2.3.1,Prefeito,0
Vicente Farias,676147032004,+55 (061) 8159-8092,1
Kevin Dias,Android 4.4.2,Filósofo,0
Caroline Oliveira,Android 4.0,Bedel,0
Alexia Ramos,676375594139,(031) 3616 2969,1
Srta. Lara Caldeira,Android 1.0,Pedreiro,0
Nina Ramos,4020309929204140,(021) 2064-1472,1
Luiz Fernando Ramos,4514697607729484,+55 (084) 2660 6600,1
Marina Freitas,30358405673399,+55 61 7441-3400,1
Maria Eduarda Novaes,4241790784821370953,(061) 4321 4734,1
Mariane Moreira,Android 2.3.2,Ator,0
Elisa Mendes,Android 2.2.2,Jogador de hóquei,0
João Gabriel Vieira,Android 5.1.1,Juiz ou árbitro de futebol,0
Nathan da Mata,Android 2.0.1,Engenheiro de minas,0
Júlia Costa,38780855924190,0500-245-4441,1
Leandro Viana,Android 3.2.1,Arquivista,0
Pedro Miguel da Mota,4593302414016563,+55 (084) 5492-4442,1
Luiz Otávio Aragão,Android 2.2,Tecnólogo em negócios imobiliários,0
Maria Sophia Campos,Android 3.2.5,Policial militar,0
Thiago Caldeira,180021186188866,0300 493 7334,1
Sra. Raquel da Luz,5263031023238161,+55 41 9106-6176,1
Mirella Melo,Android 7.1.2,Levantador de peso,0
Levi Cardoso,4984704149230335,+55 31 2396 2676,1
Ana Julia Farias,Android 1.1,Caça-talentos/Olheiro,0
Daniela Costa,36069135022658,11 5694-4924,1
Heloísa Dias,Android 7.1,Costureira,0
Nicolas Sales,30202818649614,+55 21 7157-2650,1
Lucas Dias,Android 1.6,Profissional de comércio exterior,0
Dr. Emanuel Souza,Android 1.1,Homeopata,0
Ana Beatriz Correia,5477095589014763,+55 11 5775 1264,1
Isabelly Alves,Android 2.2,Florista,0
Isabelly Pinto,3568137860678380,+55 (041) 2927-3545,1
João Gabriel Campos,378355731500981,(081) 9495-2804,1
Elisa da Luz,Android 2.2.1,Cobrador de ônibus,0
Thales Azevedo,2709534668983446,(041) 8855-7708,1
Ana Gomes,2231724959100704,31 5751 7610,1
Ryan Viana,375114680854052,81 1467 4645,1
Giovanna Freitas,Android 4.0.4,Velejador,0
Enzo Cardoso,3535973724393067,+55 (061) 4688 3427,1
Maria Cecília Lima,6532605846661841,+55 31 8595-8983,1
Leandro Pinto,676168922992,(011) 3399-6424,1
Dr. Henrique da Mata,Android 7.1,Empresário,0
Anthony da Mata,344705261514920,+55 41 3835 9728,1
Júlia da Rocha,Android 2.3.5,Policial federal,0
Levi da Mata,38703070108019,+55 31 1955-9583,1
Yuri Cunha,3594643276853747,+55 84 5720 1791,1
Srta. Bárbara Barros,Android 1.1,Engenheiro de alimentos,0
Srta. Cecília Barros,Android 6.0,Argumentista,0
Carolina Monteiro,Android 5.0.1,Músico,0
Camila Gonçalves,Android 1.1,Taifeiro,0
Srta. Beatriz da Cruz,3527843752967233,(071) 5213 8996,1
João Cavalcanti,Android 5.1.1,Endodontista,0
Isabella Mendes,Android 1.5,Educador integrado à saúde pública,0
Sophie Melo,Android 5.0.1,Consultor de moda,0
Lorena Barros,38465332593111,+55 (011) 9957-6035,1
Carolina Rodrigues,30170641856203,(061) 6950-3561,1
Catarina Costa,Android 5.0.1,Serventuário,0
Ryan Duarte,Android 3.0,Pescador,0
João Felipe da Mata,36816811437786,+55 41 8817-7538,1
Sra. Camila Duarte,4838535698965147,+55 (061) 6674-2519,1
Vitória Teixeira,3581142024481336,21 1158-3767,1
Nathan Souza,4809836125436974,+55 21 4491 3024,1
Rafael Ribeiro,3569204494910420,(081) 7445-6816,1
Henrique Campos,Android 2.2.3,Administrador público,0
Srta. Sophia da Conceição,180056518966266,+55 41 0552 6039,1
Mariana Correia,4613008249601547,+55 51 3910 1006,1
Antônio Silveira,4678757001426400,0300-148-2660,1
Juliana Cavalcanti,Android 4.4,Garçom,0
Lucas Carvalho,501838030424,(051) 0604-7212,1
Luiz Felipe Viana,Android 2.0,Juiz de direito,0
Anthony Silveira,Android 3.2.4,Técnico de som,0
Sophia Rezende,4361943685760,21 1521-5501,1
Stephany Martins,4011165014318448,+55 31 9838-2130,1
Felipe Dias,Android 2.2.2,Carnavalesco,0
Matheus Fogaça,Android 9,Atleta de nado sincronizado,0
Isaac Araújo,Android 4.2.2,Escultor,0
Emanuella das Neves,4054358151664637,+55 (061) 9632 9406,1
Mirella Jesus,Android 2.2.1,Guincheiro,0
Sr. Juan Araújo,Android 4.1.2,Agente funerário,0
Cauã Pereira,Android 9,Orçamentista,0
Sra. Isabel Santos,4285329095356001922,51 5900 9164,1
Emanuella Duarte,Android 7.1,Paginador,0
Nina da Rosa,Android 4.2,Endodontista,0
Rafael Freitas,Android 2.2,Salgadeira,0
Nicolas Aragão,376733811780107,+55 (051) 4887 8734,1
Clarice Moura,36854234016648,31 1800 4277,1
Dr. Thiago Rodrigues,3592283553989922,84 8301-2589,1
Stella Alves,Android 4.1,Estatístico,0
Camila Sales,3578570051715827,+55 (084) 6560-0319,1
Enzo Barros,6011061268927056,0800 968 2016,1
Raquel Castro,4784090502177988,+55 31 9549-9241,1
Melissa Pereira,Android 3.2.2,Chefe de cozinha,0
Raul Novaes,4553375744275412,+55 61 2946-2734,1
Sr. Enzo Gabriel Silveira,4770174995096,11 1739 4377,1
Stella da Mata,4451290460185708,+55 81 8911-6272,1
Ryan Costela,30312501507183,(051) 3491-2551,1
Letícia Silveira,Android 7.1,Designer de moda,0
Luana Nascimento,4809934627261956,+55 31 4549-2148,1
Srta. Gabrielly Pires,4454915310507913954,+55 (021) 7166 2697,1
Sra. Luiza Alves,Android 4.0.3,Geólogo,0
Cauã Moreira,4257664844448,0300 146 2832,1
Carolina Ribeiro,Android 2.3.4,Sonoplasta,0
Levi Sales,Android 4.0.4,Naturólogo,0
Srta. Clarice Rezende,213113489640106,51 3708 1694,1
Diogo Araújo,Android 3.2.4,Intérprete de Bíblias,0
Augusto Freitas,30439936698491,81 4165 3203,1
Melissa Aragão,4512788030993540,+55 21 5249-9026,1
Maria Alice Nogueira,Android 5.1,Serventuário,0
Dr. Felipe Barros,3569633684282986,(081) 2531-7894,1
Laura Alves,180072689834639,+55 51 6966 6341,1
Benício Sales,Android 4.3,Tesoureiro,0
Brenda Souza,344011085275479,(031) 3174 2620,1
Dr. Marcos Vinicius Jesus,Android 4.4.2,Estoquista,0
Fernanda Santos,503854226175,+55 (071) 7114-0255,1
Diego Mendes,Android 2.3.2,Ambientalista,0
Eduarda Correia,Android 10,Bedel,0
Benício Barbosa,30209502024145,+55 (031) 1504 5903,1
Bárbara Cardoso,Android 4.4.1,Engenheiro de som,0
Laís das Neves,Android 4.1.1,Coach,0
Erick Lima,Android 2.3.7,Artista de circo,0
João Gabriel Moreira,630426299974,+55 81 1914-7193,1
Yago Moreira,Android 1.0,Perito criminal,0
Emanuella Oliveira,Android 2.3,Plastimodelista,0
Lívia da Rocha,Android 2.2.2,Escoteiro,0
Nathan Mendes,Android 5.0,Personal stylist,0
Levi Porto,Android 7.1,Motorista,0
Otávio Cardoso,36829541818555,11 4718-5412,1
Sra. Juliana Fogaça,Android 2.2.1,Tecelão,0
Sr. Luiz Otávio Aragão,564022957570,+55 81 0411 1386,1
Rafael da Mata,4550514350137957195,+55 11 8638-2565,1
Sra. Yasmin Cardoso,4320879393363876,+55 (084) 5854 2054,1
Fernando Peixoto,Android 2.3.7,Ventríloquo,0
Alexandre da Mota,3599787935684319,+55 51 8480 1164,1
Mariane Correia,Android 2.3.7,Pecuarista,0
Alana Santos,Android 3.2.4,Costureira,0
Kamilly Nunes,341302007111709,+55 31 9412-5967,1
Ian Martins,Android 2.1,Papiloscopista,0
Srta. Bianca Campos,4103170008450466854,0500-876-3627,1
Pedro Almeida,Android 4.4.3,Repórter,0
Srta. Júlia Ribeiro,4220352777879819,11 5459 2060,1
Clara Campos,Android 4.0.2,Traumatologista,0
Gustavo Henrique Aragão,Android 5.1.1,Designer de moda,0
Vitor Gabriel Ferreira,3594100529530796,+55 71 5554 7893,1
Valentina Cunha,4567737357008,+55 (061) 4774 0107,1
Eduardo Ribeiro,Android 4.0.3,Ortodontista,0
Maitê da Mata,Android 4.1.2,Odontologista legal,0
Srta. Brenda Alves,30148595740532,+55 51 3678 7100,1
Luiz Felipe Silva,4437149635786940,84 3608-3676,1
Srta. Maria Fernanda Pereira,371591356679398,+55 84 5578 4543,1
Bruno Monteiro,Android 5.0.2,Lancheiro,0
Enrico Rodrigues,4579569016267731,(071) 6388 0426,1
Sra. Beatriz Rezende,Android 2.3.3,Coronel,0
Dra. Ana Vitória Novaes,Android 4.0.1,Endocrinologista,0
Isadora Ferreira,Android 4.3.1,Cineasta,0
Vitória Moura,Android 2.1,Moldureiro,0
Marina Lima,Android 6.0,Figurinista,0
Catarina Gonçalves,Android 4.2,Timoneiro,0
Vitor Cunha,30311899865286,(011) 7805 7238,1
Kevin da Costa,213191086282886,84 9153 8318,1
Yago da Cunha,676339986512,0500-188-6839,1
Ana Júlia Costela,30580297211703,(051) 8155 0911,1
Júlia Freitas,Android 5.0.1,Técnico em desporto,0
Heloísa Novaes,Android 1.6,Torreiro/Torrista,0
Emanuel Ribeiro,4185070259571924481,+55 (041) 8511-9206,1
Maria Cecília Oliveira,Android 5.0.1,Tecnólogo em desenvolvimento social,0
Pietro Pires,Android 6.0,Caixa,0
Rodrigo Silva,Android 4.1.1,Impressor,0
Giovanna Rodrigues,6011862540993232,+55 84 2910 7122,1
Vitor Hugo Cavalcanti,Android 2.3.6,Mergulhador,0
Nicolas da Luz,Android 4.1.2,Cadeirinha,0
Giovanna Vieira,Android 4.0.4,Policial federal,0
Nicole da Conceição,4464727679734,+55 61 0495-4237,1
Isabel da Cunha,348426807505456,51 3621 1775,1
Ana Lívia Ferreira,4374421910626,+55 51 6333 2123,1
Calebe Rocha,Android 5.0.2,Profissional de relações internacionais,0
Leonardo Cardoso,2277329912111239,+55 41 5834-8144,1
Rodrigo Costela,30038964549392,(051) 8306 0910,1
Theo da Conceição,4290661987561021982,+55 71 2588-3302,1
Cauê Martins,Android 3.1,Governanta,0
Rebeca Ramos,6554004983222430,0800-952-6788,1
Marcela Silveira,Android 7.0,Comerciante,0
Eduarda Porto,Android 5.0.2,Marinheiro,0
Srta. Emilly Mendes,Android 4.0.2,Administrador de redes,0
Laís Fernandes,3541018299613077,0900 502 4862,1
