Coluna A,Classe
Petroleiro,0
983.754.162-82,1
Assistente de câmera,0
751.023.948-60,1
308.765.294-65,1
Lavador,0
Limpador de vidros,0
918.073.456-10,1
460.983.125-24,1
876.910.234-13,1
935.204.876-83,1
539.120.746-07,1
Técnico em arquivo,0
804.137.259-79,1
Professor,0
941.025.867-76,1
145.078.369-48,1
Juiz de futebol,0
346.580.192-05,1
315.470.268-71,1
Alergologista,0
802.743.951-50,1
378.921.064-13,1
653.490.187-01,1
Neurologista,0
403.571.268-07,1
Dialoguista,0
Oftalmologista,0
891.035.627-86,1
970.345.618-93,1
Atleta de nado sincronizado,0
Contra regra,0
341.209.687-31,1
Judoca,0
136.072.948-87,1
864.251.073-08,1
456.270.891-30,1
827.306.415-80,1
745.328.910-60,1
Prático,0
Catador de carangueijos,0
Produtor de multimídia,0
Nefrologista,0
732.169.840-87,1
Paparazzo,0
517.096.283-59,1
056.371.489-10,1
237.415.689-37,1
Cobrador de pedágio,0
Boxeador,0
109.456.873-20,1
Sonoplasta,0
Economista,0
263.045.879-29,1
Cambista,0
924.368.071-40,1
Engenheiro de produção agroindustrial,0
Corredor de atletismo,0
Cadista,0
260.731.594-80,1
Preparador de máquinas,0
Endocrinologista,0
052.748.963-83,1
485.609.127-11,1
517.630.842-80,1
478.519.623-82,1
Contatólogo,0
Perito criminal,0
Metalúrgico,0
056.817.392-95,1
864.315.092-42,1
Ferroviário,0
Engenheiro de aquicultura,0
859.370.462-00,1
236.508.194-06,1
Cerimonialista,0
085.239.741-05,1
293.074.568-10,1
348.502.179-23,1
096.415.832-98,1
Cenógrafo,0
Timoneiro,0
Atleta de canoagem,0
Traumatologista,0
Assistente de câmera,0
Moldureiro,0
208.795.413-50,1
Coreógrafo,0
492.731.065-52,1
945.016.237-99,1
Alergologista,0
354.782.106-17,1
Psicólogo,0
Despachante,0
Cientista da informação e documentação,0
398.751.426-46,1
140.576.239-06,1
Assistente social,0
Atleta de canoagem,0
689.713.025-77,1
Paramédico,0
Grafologista,0
372.951.086-02,1
Segurança particular,0
Fundidor,0
Polidor de produção,0
394.105.267-52,1
835.047.916-75,1
169.742.085-02,1
845.670.912-30,1
198.365.742-55,1
652.093.174-80,1
392.618.054-42,1
Jogador de basquete,0
875.290.146-76,1
Escultor,0
Designer de interiores,0
750.249.368-92,1
542.681.970-01,1
Telefonista,0
019.328.547-97,1
Terapeuta Holístico,0
693.548.701-39,1
265.497.310-70,1
Ascensorista,0
098.142.635-24,1
685.730.192-12,1
658.372.419-73,1
Cabeleireiro,0
Guarda roupeiro,0
017.359.824-23,1
273.904.156-06,1
Técnico em segurança do trabalho,0
754.286.391-64,1
General,0
945.371.260-43,1
Assistente administrativo,0
483.062.957-65,1
819.752.064-01,1
139.670.485-00,1
890.537.146-93,1
Dublê,0
Petroleiro,0
Tecnólogo em silvicultura,0
Leão de chácara,0
796.832.405-00,1
859.432.106-60,1
Atleta de tiro com arco,0
Parteira tradicional,0
970.145.826-58,1
Capelão,0
Corretor da bolsa de valores,0
Astrólogo,0
854.706.193-20,1
Perito criminal,0
Coach,0
697.248.150-30,1
241.698.375-09,1
415.370.628-08,1
765.104.932-25,1
041.729.683-50,1
368.951.042-24,1
Ombudsman,0
463.158.097-66,1
Kite-surfer,0
Penhorista,0
654.703.182-90,1
490.852.371-14,1
Assistente social,0
231.478.605-07,1
703.591.268-12,1
214.083.596-42,1
Ilustrador,0
615.807.934-01,1
263.801.574-17,1
Ufólogo,0
162.759.304-70,1
937.568.124-64,1
420.935.786-38,1
917.326.054-16,1
034.985.761-00,1
Soldador,0
743.865.209-29,1
985.237.146-00,1
Agente de defesa sanitária animal,0
Técnico tributarista,0
Co-piloto,0
Anestesiologista,0
Defensor Público,0
Gourmet,0
Hostess,0
980.157.426-76,1
Guincheiro,0
Jogador de hóquei,0
Atleta de tiro com arco,0
208.645.317-53,1
Guarda roupeiro,0
620.941.853-89,1
Barbeiro,0
Embalador,0
Cumim,0
192.803.567-12,1
Diretor de fotografia,0
Operador de vídeo,0
524.809.637-56,1
379.256.801-21,1
Angiologista,0
714.290.386-40,1
482.609.153-24,1
Balconista,0
149.578.620-01,1
Feirante,0
Figurante,0
937.610.285-12,1
Urologista,0
Maitre,0
206.739.158-59,1
759.634.802-56,1
637.509.418-66,1
Forneiro,0
Escritor,0
039.721.564-99,1
903.625.871-59,1
147.369.052-80,1
027.693.185-86,1
796.834.051-93,1
159.276.384-73,1
Repositor,0
Estatístico,0
873.491.052-23,1
850.234.691-15,1
Odontologista legal,0
Treinador,0
Psiquiatra,0
902.785.436-00,1
254.091.736-43,1
716.924.358-09,1
Relações públicas,0
Transportador,0
809.753.612-95,1
326.715.940-70,1
873.651.924-37,1
Cumim,0
478.926.105-02,1
704.621.359-34,1
386.142.075-90,1
951.486.073-00,1
571.234.680-07,1
306.578.412-26,1
821.637.054-71,1
953.807.124-79,1
716.302.985-30,1
Coronel,0
Passador,0
Terapeuta ocupacional,0
Astrônomo,0
510.934.628-33,1
497.586.203-47,1
Guarda ou policial rodoviário,0
102.567.493-61,1
Engenheiro mecatrônico,0
284.769.351-37,1
539.276.401-07,1
345.291.870-04,1
479.632.850-56,1
Atleta de arremesso de peso,0
734.190.628-69,1
Cientista de alimentos,0
Tecnólogo em tecnologia da madeira,0
073.861.254-53,1
Jogador de hóquei,0
Jardineiro,0
Zootecnista,0
406.192.835-05,1
839.645.702-65,1
340.829.657-00,1
016.824.735-62,1
Ambientalista,0
578.934.026-10,1
Diagramador,0
234.519.708-05,1
426.835.170-17,1
Profissional de comércio exterior,0
634.275.180-35,1
Engenheiro de computação,0
478.031.562-07,1
Flautista,0
912.605.738-77,1
Boticário,0
Fonoaudiólogo,0
Optometrista,0
965.871.023-95,1
153.286.409-42,1
Mágico,0
297.458.310-50,1
Perfumista,0
961.874.305-57,1
